frag,B19-B19j,B5,B2,B1,C1/C3-C1c-C1b-C72k-C1w,C1/C1c/C3-C1al-C1b,C1/C3-C1b-C1c-C42.2-C72k,C3-C1-C3y-C6a,C3af-C3hq,C3-C3y-C6a,C1/C1c,C1-C1c-C1al-C72k,C1/C1c-C1b,C1-C1c-C1am-C1ao-C1an-C3cm-C72k,C1/C1c-C1al,C3/C1,C15,D1-D4-D1cl-D1ck-D4c-D1cm-D1c-D2,D1-D4-D4c-D1cl-D1az-D1c-D2,D1/D4-D4c-D1c,D1/D4/D4c,D1/D4/D4c-D2,E1c
O2I1,0,0,0,0,0,17733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2A1,0,0,0,0,0,9987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITS-neg-old,0,0,0,0,0,11628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3F1,0,0,0,0,0,23694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I4B3,0,0,0,0,0,15724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2A9,0,0,0,0,0,23951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2D3,0,0,0,0,0,10223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3A4,0,0,0,0,0,23194,0,0,0,0,0,0,0,0,0,0,0,0,695,0,0,0,0
I3I10,0,0,0,0,0,11047,0,0,0,0,0,0,0,0,0,0,0,0,317,0,0,0,0
I2B4,0,0,0,0,0,4249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2I4,0,0,0,0,0,8338,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0
I3G2,0,0,0,0,0,3755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I4I1,0,0,0,0,0,12761,0,0,0,0,0,0,0,0,0,0,0,0,540,0,0,0,0
negcontrol2,0,0,0,0,0,1836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3C5,0,0,0,0,0,4603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3G1,0,0,0,0,0,2513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2E2,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3G4,0,0,0,0,0,11186,0,0,0,0,0,0,0,0,0,0,0,0,647,0,0,0,0
I3C4,0,0,0,0,0,1724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3I2,0,0,0,0,0,4721,0,0,0,0,0,0,0,0,0,0,0,319,0,0,0,0,0
I3F4,0,0,0,0,0,2951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3B1,0,0,0,0,0,11146,0,0,0,0,0,0,0,0,0,0,0,1089,0,0,0,0,0
I3H8,0,0,0,0,0,2491,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0
O3H1,0,0,0,0,0,3071,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0,0,0
I3B3,0,0,0,0,0,7130,0,0,0,0,0,0,0,0,0,0,0,0,1619,0,0,0,0
I3H3,0,0,0,0,0,3664,0,0,0,0,0,0,0,0,0,0,0,676,0,0,0,0,0
I3H5,0,0,0,0,0,6040,0,0,0,0,0,0,0,0,0,0,0,0,2002,0,0,0,0
O2G2,0,0,0,0,0,5481,0,0,0,0,0,0,0,0,0,0,0,1564,0,0,0,0,0
O3G2,0,0,0,0,0,3559,0,0,0,0,0,0,0,0,0,0,0,1023,0,0,0,0,0
O3B1,0,0,0,0,0,3563,0,0,0,0,0,0,0,0,0,0,0,0,1686,0,0,0,0
O4F3,0,0,0,0,0,916,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0
I3E3,0,0,0,0,0,3737,0,0,0,0,0,0,0,0,0,0,0,0,2322,0,0,0,0
