"","frag","Sample_or_Control","treat","gen_site","sitename","reef","dominant_type","lineage"
"88","negcontrol2","Control",NA,NA,NA,NA,NA,NA
"89","O2A11","Sample","Control","O2A","BS","Outer Reef","D","L1"
"90","O2A9","Sample","Mod Var","O2A","BS","Outer Reef","C","L1"
"91","O2B1","Sample","Control 2","O2B","BS","Outer Reef",NA,"L1"
"92","O2B10","Sample","Mod Var","O2B","BS","Outer Reef","C","L1"
"93","O2B2","Sample","Low Var","O2B","BS","Outer Reef","C","L1"
"94","O2B4","Sample","High Var","O2B","BS","Outer Reef","C","L1"
"95","O2B5","Sample","Control","O2B","BS","Outer Reef","C","L1"
"96","O2C1","Sample","Control","O2C","BS","Outer Reef","D","L1"
"97","O2C7","Sample","High Var","O2C","BS","Outer Reef","D","L1"
"98","O2D3","Sample","Mod Var","O2D","BS","Outer Reef","C","L1"
"99","O2E2","Sample","Low Var","O2E","BS","Outer Reef","C","L1"
"100","O2E3","Sample","Mod Var","O2E","BS","Outer Reef","C","L1"
"101","O2E4","Sample","High Var","O2E","BS","Outer Reef","C","L1"
"102","O2E8","Sample","Control","O2E","BS","Outer Reef","C","L1"
"103","O2F1","Sample","Control","O2F","BS","Outer Reef","D","L1"
"104","O2F2","Sample","Low Var","O2F","BS","Outer Reef","D","L1"
"105","O2F3","Sample","Mod Var","O2F","BS","Outer Reef","D","L1"
"106","O2F8","Sample","High Var","O2F","BS","Outer Reef","D","L1"
"107","O2G1","Sample","Control","O2G","BS","Outer Reef","D","L2"
"108","O2G2","Sample","Low Var","O2G","BS","Outer Reef","D","L2"
"109","O2G4","Sample","High Var","O2G","BS","Outer Reef","D","L2"
"110","O2G7","Sample","Mod Var","O2G","BS","Outer Reef","D","L2"
"111","O2H2","Sample","Control","O2H","BS","Outer Reef","D","L1"
"112","O2H8","Sample","Mod Var","O2H","BS","Outer Reef","D","L1"
"113","O2I1","Sample","Control","O2I","BS","Outer Reef","C","L1"
"114","O2I3","Sample","Mod Var","O2I","BS","Outer Reef","C","L1"
"115","O2I4","Sample","High Var","O2I","BS","Outer Reef","D","L1"
"116","O2I9","Sample","Low Var","O2I","BS","Outer Reef","C","L1"
"117","O3A10","Sample","Mod Var","O3A","CA","Outer Reef",NA,NA
"118","O3A2","Sample","Low Var","O3A","CA","Outer Reef",NA,NA
"119","O3B1","Sample","Control","O3B","CA","Outer Reef","D","L1"
"120","O3B2","Sample","Low Var","O3B","CA","Outer Reef","D","L1"
"121","O3B4","Sample","High Var","O3B","CA","Outer Reef","D","L1"
"122","O3B9","Sample","Mod Var","O3B","CA","Outer Reef","D","L1"
"123","O3C1","Sample","Control","O3C","CA","Outer Reef","D","L1"
"124","O3C10","Sample","Mod Var","O3C","CA","Outer Reef","D","L1"
"125","O3C4","Sample","High Var","O3C","CA","Outer Reef","D","L1"
"126","O3D1","Sample","Control","O3D","CA","Outer Reef","D","L1"
"127","O3D2","Sample","Low Var","O3D","CA","Outer Reef","D","L1"
"128","O3D9","Sample","Mod Var","O3D","CA","Outer Reef","D","L1"
"129","O3E10","Sample","Control","O3E","CA","Outer Reef","D","L1"
"130","O3E2","Sample","Low Var","O3E","CA","Outer Reef","D","L1"
"131","O3E3","Sample","Mod Var","O3E","CA","Outer Reef","D","L1"
"132","O3F13","Sample","Control","O3F","CA","Outer Reef","D","L1"
"133","O3F2","Sample","Low Var","O3F","CA","Outer Reef","D","L1"
"134","O3F3","Sample","Mod Var","O3F","CA","Outer Reef","D","L1"
"135","O3F4","Sample","High Var","O3F","CA","Outer Reef","D","L1"
"136","O3G1","Sample","Control","O3G","CA","Outer Reef","C","L1"
"137","O3G2","Sample","Low Var","O3G","CA","Outer Reef","D","L1"
"138","O3G7","Sample","High Var","O3G","CA","Outer Reef","C","L1"
"139","O3G8","Sample","Mod Var","O3G","CA","Outer Reef","C","L1"
"140","O3H1","Sample","Control","O3H","CA","Outer Reef","C","L1"
"141","O3H2","Sample","Low Var","O3H","CA","Outer Reef","C","L1"
"142","O3H3","Sample","Mod Var","O3H","CA","Outer Reef","C","L1"
"143","O3H7","Sample","High Var","O3H","CA","Outer Reef","C","L1"
"144","O3I11","Sample","Mod Var","O3I","CA","Outer Reef","D","L1"
"145","O3I13","Sample","High Var","O3I","CA","Outer Reef","D","L1"
"146","O3I3","Sample","Low Var","O3I","CA","Outer Reef","D","L1"
"147","O3I8","Sample","Control","O3I","CA","Outer Reef","D","L1"
"148","O4A1","Sample","Control","O4A","BN","Outer Reef","D","L1"
"149","O4A17","Sample","Mod Var","O4A","BN","Outer Reef","D","L1"
"150","O4A2","Sample","Low Var","O4A","BN","Outer Reef","D","L1"
"151","O4A4","Sample","High Var","O4A","BN","Outer Reef","D","L1"
"152","O4B3","Sample","Mod Var","O4B","BN","Outer Reef","D","L1"
"153","O4C1","Sample","Control","O4C","BN","Outer Reef","D","L1"
"154","O4C2","Sample","Low Var","O4C","BN","Outer Reef","D","L1"
"155","O4C3","Sample","Mod Var","O4C","BN","Outer Reef","D","L1"
"156","O4D1","Sample","Control","O4D","BN","Outer Reef","D","L1"
"157","O4D12","Sample","Mod Var","O4D","BN","Outer Reef","D","L1"
"158","O4D2","Sample","Low Var","O4D","BN","Outer Reef","D","L1"
"159","O4D4","Sample","High Var","O4D","BN","Outer Reef","D","L1"
"160","O4D8","Sample",NA,NA,NA,NA,NA,NA
"161","O4E1","Sample","Control","O4E","BN","Outer Reef","D","L1"
"162","O4E10","Sample","Mod Var","O4E","BN","Outer Reef","D","L1"
"163","O4E2","Sample","Low Var","O4E","BN","Outer Reef","D","L1"
"164","O4E4","Sample","High Var","O4E","BN","Outer Reef","D","L1"
"165","O4F1","Sample","Control","O4F","BN","Outer Reef","D","L1"
"166","O4F2","Sample","Low Var","O4F","BN","Outer Reef","D","L1"
"167","O4F3","Sample","Mod Var","O4F","BN","Outer Reef","D","L1"
"168","O4F4","Sample","High Var","O4F","BN","Outer Reef","D","L1"
"169","O4G1","Sample","Control","O4G","BN","Outer Reef","D","L1"
"170","O4G7","Sample","Mod Var","O4G","BN","Outer Reef","D","L1"
"171","O4G9","Sample","Low Var","O4G","BN","Outer Reef","D","L1"
"172","O4H11","Sample","High Var","O4H","BN","Outer Reef","D","L1"
"173","O4H2","Sample","Low Var","O4H","BN","Outer Reef","D","L1"
"174","O4H3","Sample","Mod Var","O4H","BN","Outer Reef","D","L1"
"175","O4I3","Sample","Mod Var","O4I","BN","Outer Reef",NA,NA
