frag,treat,gen_site,sitename,reef,dominant_type,lineage
O2F2,Low Var,O2F,BS,Outer Reef,D,L1
O3D2,Low Var,O3D,CA,Outer Reef,D,L1
O3E2,Low Var,O3E,CA,Outer Reef,D,L1
O3F2,Low Var,O3F,CA,Outer Reef,D,L1
O4D2,Low Var,O4D,BN,Outer Reef,D,L1
O4E2,Low Var,O4E,BN,Outer Reef,D,L1
O4F2,Low Var,O4F,BN,Outer Reef,D,L1
I2G2,Low Var,I2G,SP,Inner Reef,D,L2
I2H2,Low Var,I2H,SP,Inner Reef,D,L3
I2I10,Low Var,I2I,SP,Inner Reef,C,L3
I2I2,Low Var,I2I,SP,Inner Reef,NA,L3
I3G2,Low Var,I3G,CI,Inner Reef,C,L2
I3H2,Low Var,I3H,CI,Inner Reef,NA,L1
I3I2,Low Var,I3I,CI,Inner Reef,D,L1
I3I9,Low Var,I3I,CI,Inner Reef,NA,L1
I4G2,Low Var,I4G,PD,Inner Reef,D,NA
I4H2,Low Var,I4H,PD,Inner Reef,NA,L2
I4I2,Low Var,I4I,PD,Inner Reef,C,L2
O2G2,Low Var,O2G,BS,Outer Reef,D,L2
O2I2,Low Var,O2I,BS,Outer Reef,NA,L1
O2I9,Low Var,O2I,BS,Outer Reef,C,L1
O3G2,Low Var,O3G,CA,Outer Reef,D,L1
O3H2,Low Var,O3H,CA,Outer Reef,C,L1
O3I2,Low Var,O3I,CA,Outer Reef,NA,L1
O3I3,Low Var,O3I,CA,Outer Reef,D,L1
O4G2,Low Var,O4G,BN,Outer Reef,NA,L1
O4G9,Low Var,O4G,BN,Outer Reef,D,L1
O4H2,Low Var,O4H,BN,Outer Reef,D,L1
O4I10,Low Var,O4I,BN,Outer Reef,NA,NA
O4I2,Low Var,O4I,BN,Outer Reef,NA,NA
I2A3,Mod Var,I2A,SP,Inner Reef,C,L2
I2B3,Mod Var,I2B,SP,Inner Reef,D,L2
I2C3,Mod Var,I2C,SP,Inner Reef,C,L2
I3A3,Mod Var,I3A,CI,Inner Reef,NA,L1
I3A7,Mod Var,I3A,CI,Inner Reef,C,L1
I3B3,Mod Var,I3B,CI,Inner Reef,NA,NA
I3C3,Mod Var,I3C,CI,Inner Reef,C,L2
I4A3,Mod Var,I4A,PD,Inner Reef,C,L1
I4B3,Mod Var,I4B,PD,Inner Reef,C,L2
I4C3,Mod Var,I4C,PD,Inner Reef,D,L2
O2A9,Mod Var,O2A,BS,Outer Reef,C,L1
O2B10,Mod Var,O2B,BS,Outer Reef,C,L1
O2C3,Mod Var,O2C,BS,Outer Reef,NA,L1
O2C8,Mod Var,O2C,BS,Outer Reef,NA,L1
O3A10,Mod Var,O3A,CA,Outer Reef,NA,NA
O3B3,Mod Var,O3B,CA,Outer Reef,NA,L1
O3B9,Mod Var,O3B,CA,Outer Reef,D,L1
O3C10,Mod Var,O3C,CA,Outer Reef,D,L1
O4A17,Mod Var,O4A,BN,Outer Reef,D,L1
O4B3,Mod Var,O4B,BN,Outer Reef,D,L1
O4C3,Mod Var,O4C,BN,Outer Reef,D,L1
I2D3,Mod Var,I2D,SP,Inner Reef,C,L3
I2E3,Mod Var,I2E,SP,Inner Reef,C,L2
I2F10,Mod Var,I2F,SP,Inner Reef,C,L2
I3D3,Mod Var,I3D,CI,Inner Reef,D,L2
I3E3,Mod Var,I3E,CI,Inner Reef,D,L2
I3F3,Mod Var,I3F,CI,Inner Reef,D,L1
I4D9,Mod Var,I4D,PD,Inner Reef,C,L2
I4E3,Mod Var,I4E,PD,Inner Reef,C,L2
I4F3,Mod Var,I4F,PD,Inner Reef,NA,L2
O2D3,Mod Var,O2D,BS,Outer Reef,C,L1
O2E3,Mod Var,O2E,BS,Outer Reef,C,L1
O2F3,Mod Var,O2F,BS,Outer Reef,D,L1
O3D3,Mod Var,O3D,CA,Outer Reef,NA,L1
O3D9,Mod Var,O3D,CA,Outer Reef,D,L1
O3E3,Mod Var,O3E,CA,Outer Reef,D,L1
O3F3,Mod Var,O3F,CA,Outer Reef,D,L1
O4D12,Mod Var,O4D,BN,Outer Reef,D,L1
O4E10,Mod Var,O4E,BN,Outer Reef,D,L1
O4F3,Mod Var,O4F,BN,Outer Reef,D,L1
I2G11,Mod Var,I2G,SP,Inner Reef,C,L2
I2H13,Mod Var,I2H,SP,Inner Reef,D,L3
I2I3,Mod Var,I2I,SP,Inner Reef,D,L3
I3G3,Mod Var,I3G,CI,Inner Reef,D,L2
I3H3,Mod Var,I3H,CI,Inner Reef,D,L1
I3I3,Mod Var,I3I,CI,Inner Reef,NA,L1
I4G3,Mod Var,I4G,PD,Inner Reef,C,NA
I4H3,Mod Var,I4H,PD,Inner Reef,C,L2
I4I7,Mod Var,I4I,PD,Inner Reef,C,L2
O2G7,Mod Var,O2G,BS,Outer Reef,D,L2
O2H8,Mod Var,O2H,BS,Outer Reef,D,L1
O2I3,Mod Var,O2I,BS,Outer Reef,C,L1
O3G8,Mod Var,O3G,CA,Outer Reef,C,L1
O3H3,Mod Var,O3H,CA,Outer Reef,C,L1
O3I11,Mod Var,O3I,CA,Outer Reef,D,L1
O4G3,Mod Var,O4G,BN,Outer Reef,NA,L1
O4G7,Mod Var,O4G,BN,Outer Reef,D,L1
O4H3,Mod Var,O4H,BN,Outer Reef,D,L1
O4I3,Mod Var,O4I,BN,Outer Reef,NA,NA
I2A4,High Var,I2A,SP,Inner Reef,C,L2
I2B4,High Var,I2B,SP,Inner Reef,C,L2
I2C4,High Var,I2C,SP,Inner Reef,C,L2
I3A4,High Var,I3A,CI,Inner Reef,D,L1
I3B4,High Var,I3B,CI,Inner Reef,NA,NA
I3C4,High Var,I3C,CI,Inner Reef,C,L2
I4A4,High Var,I4A,PD,Inner Reef,C,L1
I4B4,High Var,I4B,PD,Inner Reef,C,L2
I4C4,High Var,I4C,PD,Inner Reef,C,L2
O2B4,High Var,O2B,BS,Outer Reef,C,L1
O2C7,High Var,O2C,BS,Outer Reef,D,L1
O3A4,High Var,O3A,CA,Outer Reef,NA,NA
O3B4,High Var,O3B,CA,Outer Reef,D,L1
O3C4,High Var,O3C,CA,Outer Reef,D,L1
O4A4,High Var,O4A,BN,Outer Reef,D,L1
O4B1,High Var,O4B,BN,Outer Reef,NA,L1
O4C4,High Var,O4C,BN,Outer Reef,NA,L1
I2D4,High Var,I2D,SP,Inner Reef,C,L3
I2E4,High Var,I2E,SP,Inner Reef,D,L2
I2F4,High Var,I2F,SP,Inner Reef,C,L2
I3D4,High Var,I3D,CI,Inner Reef,NA,L2
I3D8,High Var,I3D,CI,Inner Reef,D,L2
I3E4,High Var,I3E,CI,Inner Reef,D,L2
I3F4,High Var,I3F,CI,Inner Reef,C,L1
I4D4,High Var,I4D,PD,Inner Reef,C,L2
I4E7,High Var,I4E,PD,Inner Reef,NA,L2
I4F4,High Var,I4F,PD,Inner Reef,C,L2
O2D4,High Var,O2D,BS,Outer Reef,NA,L1
O2E4,High Var,O2E,BS,Outer Reef,C,L1
O2F4,High Var,O2F,BS,Outer Reef,NA,L1
O2F8,High Var,O2F,BS,Outer Reef,D,L1
O3D4,High Var,O3D,CA,Outer Reef,NA,L1
O3E4,High Var,O3E,CA,Outer Reef,NA,L1
O3E9,High Var,O3E,CA,Outer Reef,NA,L1
O3F4,High Var,O3F,CA,Outer Reef,D,L1
O4D4,High Var,O4D,BN,Outer Reef,D,L1
O4E4,High Var,O4E,BN,Outer Reef,D,L1
O4F4,High Var,O4F,BN,Outer Reef,D,L1
I2G12,High Var,I2G,SP,Inner Reef,C,L2
I2G4,High Var,I2G,SP,Inner Reef,NA,L2
I2H4,High Var,I2H,SP,Inner Reef,D,L3
I2I4,High Var,I2I,SP,Inner Reef,D,L3
I3G4,High Var,I3G,CI,Inner Reef,NA,L2
I3H4,High Var,I3H,CI,Inner Reef,NA,L1
I3H8,High Var,I3H,CI,Inner Reef,D,L1
I3I4,High Var,I3I,CI,Inner Reef,C,L1
I4G4,High Var,I4G,PD,Inner Reef,C,NA
I4H4,High Var,I4H,PD,Inner Reef,C,L2
I4I4,High Var,I4I,PD,Inner Reef,C,L2
O2G4,High Var,O2G,BS,Outer Reef,D,L2
O2H4,High Var,O2H,BS,Outer Reef,NA,L1
O2I4,High Var,O2I,BS,Outer Reef,D,L1
O3G4,High Var,O3G,CA,Outer Reef,NA,L1
O3G7,High Var,O3G,CA,Outer Reef,C,L1
O3H4,High Var,O3H,CA,Outer Reef,NA,L1
O3H7,High Var,O3H,CA,Outer Reef,C,L1
O3I13,High Var,O3I,CA,Outer Reef,D,L1
O4H11,High Var,O4H,BN,Outer Reef,D,L1
O4I4,High Var,O4I,BN,Outer Reef,NA,NA
O4I7,High Var,O4I,BN,Outer Reef,NA,NA
I2A5,Control 2,I2A,SP,Inner Reef,NA,L2
I2B5,Control 2,I2B,SP,Inner Reef,NA,L2
I2C5,Control 2,I2C,SP,Inner Reef,NA,L2
I3A5,Control 2,I3A,CI,Inner Reef,NA,L1
I3B5,Control 2,I3B,CI,Inner Reef,NA,NA
I4A1,Control 2,I4A,PD,Inner Reef,NA,L1
I4B5,Control 2,I4B,PD,Inner Reef,NA,L2
I4C5,Control 2,I4C,PD,Inner Reef,NA,L2
O2A2,Control 2,O2A,BS,Outer Reef,NA,L1
O2A5,Control 2,O2A,BS,Outer Reef,NA,L1
O2B1,Control 2,O2B,BS,Outer Reef,NA,L1
O2C5,Control 2,O2C,BS,Outer Reef,NA,L1
O3A5,Control 2,O3A,CA,Outer Reef,NA,NA
O3B5,Control 2,O3B,CA,Outer Reef,NA,L1
O3C5,Control 2,O3C,CA,Outer Reef,NA,L1
O4A5,Control 2,O4A,BN,Outer Reef,NA,L1
O4B5,Control 2,O4B,BN,Outer Reef,NA,L1
O4C5,Control 2,O4C,BN,Outer Reef,NA,L1
I2D5,Control 2,I2D,SP,Inner Reef,NA,L3
I2E5,Control 2,I2E,SP,Inner Reef,NA,L2
I2F5,Control 2,I2F,SP,Inner Reef,NA,L2
I3E5,Control 2,I3E,CI,Inner Reef,NA,L2
I3F5,Control 2,I3F,CI,Inner Reef,NA,L1
I4D3,Control 2,I4D,PD,Inner Reef,NA,L2
I4E5,Control 2,I4E,PD,Inner Reef,NA,L2
I4F5,Control 2,I4F,PD,Inner Reef,NA,L2
O2D5,Control 2,O2D,BS,Outer Reef,NA,L1
O2E5,Control 2,O2E,BS,Outer Reef,NA,L1
O2F5,Control 2,O2F,BS,Outer Reef,NA,L1
O3D5,Control 2,O3D,CA,Outer Reef,NA,L1
O3E5,Control 2,O3E,CA,Outer Reef,NA,L1
O3F5,Control 2,O3F,CA,Outer Reef,NA,L1
O4D5,Control 2,O4D,BN,Outer Reef,NA,L1
O4E5,Control 2,O4E,BN,Outer Reef,NA,L1
O4F5,Control 2,O4F,BN,Outer Reef,NA,L1
I2H5,Control 2,I2H,SP,Inner Reef,NA,L3
I2I5,Control 2,I2I,SP,Inner Reef,NA,L3
I3G5,Control 2,I3G,CI,Inner Reef,NA,L2
I3H1,Control 2,I3H,CI,Inner Reef,NA,L1
I3I5,Control 2,I3I,CI,Inner Reef,NA,L1
I4G5,Control 2,I4G,PD,Inner Reef,NA,NA
I4H5,Control 2,I4H,PD,Inner Reef,NA,L2
I4I5,Control 2,I4I,PD,Inner Reef,NA,L2
O2G13,Control 2,O2G,BS,Outer Reef,NA,L2
O2G5,Control 2,O2G,BS,Outer Reef,NA,L2
O2H5,Control 2,O2H,BS,Outer Reef,NA,L1
O2I5,Control 2,O2I,BS,Outer Reef,NA,L1
O3G10,Control 2,O3G,CA,Outer Reef,NA,L1
O3G5,Control 2,O3G,CA,Outer Reef,NA,L1
O3H5,Control 2,O3H,CA,Outer Reef,NA,L1
O3I10,Control 2,O3I,CA,Outer Reef,NA,L1
O3I5,Control 2,O3I,CA,Outer Reef,NA,L1
O4G4,Control 2,O4G,BN,Outer Reef,NA,L1
O4G5,Control 2,O4G,BN,Outer Reef,NA,L1
O4H5,Control 2,O4H,BN,Outer Reef,NA,L1
O4I5,Control 2,O4I,BN,Outer Reef,NA,NA
I2A,Initial,I2A,SP,Inner Reef,NA,L2
I2B,Initial,I2B,SP,Inner Reef,NA,L2
I2C,Initial,I2C,SP,Inner Reef,NA,L2
I2D,Initial,I2D,SP,Inner Reef,NA,L3
I2E,Initial,I2E,SP,Inner Reef,NA,L2
I2F,Initial,I2F,SP,Inner Reef,NA,L2
I2G,Initial,I2G,SP,Inner Reef,NA,L2
I2H,Initial,I2H,SP,Inner Reef,NA,L3
I2I,Initial,I2I,SP,Inner Reef,NA,L3
I3A,Initial,I3A,CI,Inner Reef,NA,L1
I3B,Initial,I3B,CI,Inner Reef,NA,NA
I3C,Initial,I3C,CI,Inner Reef,NA,L2
I3D,Initial,I3D,CI,Inner Reef,NA,L2
I3E,Initial,I3E,CI,Inner Reef,NA,L2
I3F,Initial,I3F,CI,Inner Reef,NA,L1
I3G,Initial,I3G,CI,Inner Reef,NA,L2
I3H,Initial,I3H,CI,Inner Reef,NA,L1
I3I,Initial,I3I,CI,Inner Reef,NA,L1
I4A,Initial,I4A,PD,Inner Reef,NA,L1
I4B,Initial,I4B,PD,Inner Reef,NA,L2
I4C,Initial,I4C,PD,Inner Reef,NA,L2
I4D,Initial,I4D,PD,Inner Reef,NA,L2
I4E,Initial,I4E,PD,Inner Reef,NA,L2
I4F,Initial,I4F,PD,Inner Reef,NA,L2
I4G,Initial,I4G,PD,Inner Reef,NA,NA
I4H,Initial,I4H,PD,Inner Reef,NA,L2
I4I,Initial,I4I,PD,Inner Reef,NA,L2
O2A,Initial,O2A,BS,Outer Reef,NA,L1
O2B,Initial,O2B,BS,Outer Reef,NA,L1
O2C,Initial,O2C,BS,Outer Reef,NA,L1
O2D,Initial,O2D,BS,Outer Reef,NA,L1
O2E,Initial,O2E,BS,Outer Reef,NA,L1
O2F,Initial,O2F,BS,Outer Reef,NA,L1
O2G,Initial,O2G,BS,Outer Reef,NA,L2
O2H,Initial,O2H,BS,Outer Reef,NA,L1
O2I,Initial,O2I,BS,Outer Reef,NA,L1
O3A,Initial,O3A,CA,Outer Reef,NA,NA
O3B,Initial,O3B,CA,Outer Reef,NA,L1
O3C,Initial,O3C,CA,Outer Reef,NA,L1
O3D,Initial,O3D,CA,Outer Reef,NA,L1
O3E,Initial,O3E,CA,Outer Reef,NA,L1
O3F,Initial,O3F,CA,Outer Reef,NA,L1
O3G,Initial,O3G,CA,Outer Reef,NA,L1
O3H,Initial,O3H,CA,Outer Reef,NA,L1
O3I,Initial,O3I,CA,Outer Reef,NA,L1
O4A,Initial,O4A,BN,Outer Reef,NA,L1
O4B,Initial,O4B,BN,Outer Reef,NA,L1
O4C,Initial,O4C,BN,Outer Reef,NA,L1
O4D,Initial,O4D,BN,Outer Reef,NA,L1
O4E,Initial,O4E,BN,Outer Reef,NA,L1
O4F,Initial,O4F,BN,Outer Reef,NA,L1
O4G,Initial,O4G,BN,Outer Reef,NA,L1
O4H,Initial,O4H,BN,Outer Reef,NA,L1
O4I,Initial,O4I,BN,Outer Reef,NA,NA
I3E6_v2,Initial,I3E,CI,Inner Reef,NA,L2
