"","frag","timepoint","Sample_or_Control","treat","gen_site","sitename","reef","lineage"
"O3G8","O3G8","pre_stress","Sample","Mod Var","O3G","CA","Outer Reef","L1"
"O3H1","O3H1","pre_stress","Sample","Control","O3H","CA","Outer Reef","L1"
"I3F3","I3F3","pre_stress","Sample","Mod Var","I3F","CI","Inner Reef","L1"
"I4B1","I4B1","pre_stress","Sample","Control","I4B","PD","Inner Reef","L2"
"I2C1","I2C1","pre_stress","Sample","Control","I2C","SP","Inner Reef","L2"
"I2C3","I2C3","pre_stress","Sample","Mod Var","I2C","SP","Inner Reef","L2"
"O2A11","O2A11","pre_stress","Sample","Control","O2A","BS","Outer Reef","L1"
"O2E3","O2E3","pre_stress","Sample","Mod Var","O2E","BS","Outer Reef","L1"
"O2E8","O2E8","pre_stress","Sample","Control","O2E","BS","Outer Reef","L1"
"I2E7","I2E7","pre_stress","Sample","Control","I2E","SP","Inner Reef","L2"
"O3E3","O3E3","pre_stress","Sample","Mod Var","O3E","CA","Outer Reef","L1"
"I3G3","I3G3","pre_stress","Sample","Mod Var","I3G","CI","Inner Reef","L2"
