"logger","datetime","max","min","mean","range","date"
"Drago.OR4","2016-06-12 23:45:00",31.204,29.865,30.4598973214286,1.339,2016-06-12
"Punta.IR1","2016-06-12 23:45:00",31.842,30.495,31.1429742063492,1.347,2016-06-12
"STRI.IR2","2016-06-12 23:45:00",31.103,30.192,30.637685515873,0.911000000000001,2016-06-12
"Cristo.IR3.arr1","2016-06-12 23:45:00",32.7422222222222,30.3938888888889,31.5013869598765,2.34833333333333,2016-06-12
"Cayo.OR3.arr3","2016-06-19 23:45:00",30.976,29.065,30.0134950396825,1.911,2016-06-19
"Drago.OR4","2016-06-19 23:45:00",30.495,29.065,29.8280014880952,1.43,2016-06-19
"Punta.IR1","2016-06-19 23:45:00",30.95,29.79,30.3988020833333,1.16,2016-06-19
"STRI.IR2","2016-06-19 23:45:00",30.52,29.715,30.1029603174603,0.805,2016-06-19
"Cristo.IR3.arr1","2016-06-19 23:45:00",31.535,29.84,30.6694805445326,1.695,2016-06-19
"Cayo.OR3.arr3","2016-06-26 23:45:00",30.545,28.941,29.7018645833333,1.604,2016-06-26
"Drago.OR4","2016-06-26 23:45:00",30.142,28.617,29.4011378968254,1.525,2016-06-26
"Punta.IR1","2016-06-26 23:45:00",30.646,28.941,29.8515639880952,1.705,2016-06-26
"STRI.IR2","2016-06-26 23:45:00",30.217,29.414,29.7972544642857,0.802999999999997,2016-06-26
"Cristo.IR3.arr1","2016-06-26 23:45:00",31.0522222222222,29.34,30.1820430996473,1.71222222222223,2016-06-26
"Cayo.OR3.arr3","2016-07-03 23:45:00",30.318,28.097,29.2245734126984,2.221,2016-07-03
"Drago.OR4","2016-07-03 23:45:00",30.243,28.617,29.3594965277778,1.626,2016-07-03
"Punta.IR1","2016-07-03 23:45:00",30.293,28.866,29.5855992063492,1.427,2016-07-03
"STRI.IR2","2016-07-03 23:45:00",30.041,28.99,29.4928363095238,1.051,2016-07-03
"Cristo.IR3.arr1","2016-07-03 23:45:00",31.1277777777778,28.5677777777778,29.8093802358907,2.56,2016-07-03
"Cayo.OR3.arr3","2016-07-10 23:45:00",29.64,28.072,28.8704479166667,1.568,2016-07-10
"Drago.OR4","2016-07-10 23:45:00",29.29,27.949,28.6619608134921,1.341,2016-07-10
"Punta.IR1","2016-07-10 23:45:00",30.167,28.841,29.4988978174603,1.326,2016-07-10
"STRI.IR2","2016-07-10 23:45:00",29.414,28.642,29.0100649801587,0.772000000000002,2016-07-10
"Cristo.IR3.arr1","2016-07-10 23:45:00",30.52,28.5177777777778,29.4403100198413,2.00222222222223,2016-07-10
"Cayo.OR3.arr3","2016-07-17 23:45:00",29.54,27.924,28.6935287698413,1.616,2016-07-17
"Drago.OR4","2016-07-17 23:45:00",29.09,27.825,28.4871488095238,1.265,2016-07-17
"Punta.IR1","2016-07-17 23:45:00",29.89,28.468,29.1872326388889,1.422,2016-07-17
"STRI.IR2","2016-07-17 23:45:00",29.265,28.369,28.8230679563492,0.896000000000001,2016-07-17
"Cristo.IR3.arr1","2016-07-17 23:45:00",29.4138888888889,28.0227777777778,28.7562092151675,1.39111111111111,2016-07-17
"Cayo.OR3.arr3","2016-07-24 23:45:00",29.815,28.171,28.9639588293651,1.644,2016-07-24
"Drago.OR4","2016-07-24 23:45:00",29.665,27.702,28.6796805555556,1.963,2016-07-24
"Punta.IR1","2016-07-24 23:45:00",29.765,28.369,29.0981091269841,1.396,2016-07-24
"STRI.IR2","2016-07-24 23:45:00",29.065,28.394,28.7152673611111,0.671000000000003,2016-07-24
"Cristo.IR3.arr1","2016-07-24 23:45:00",31.5861111111111,28.245,29.677868441358,3.34111111111112,2016-07-24
"Cayo.OR3.arr3","2016-07-31 23:45:00",30.016,28.394,29.1752023809524,1.622,2016-07-31
"Drago.OR4","2016-07-31 23:45:00",29.665,28.023,28.8663452380952,1.642,2016-07-31
"Punta.IR1","2016-07-31 23:45:00",30.117,28.568,29.3417172619048,1.549,2016-07-31
"STRI.IR2","2016-07-31 23:45:00",29.29,28.593,28.9480992063492,0.696999999999999,2016-07-31
"Cristo.IR3.arr1","2016-07-31 23:45:00",30.8738888888889,28.3688888888889,29.5158575837742,2.505,2016-07-31
"Cayo.OR3.arr3","2016-08-07 23:45:00",30.722,28.518,29.5826512896825,2.204,2016-08-07
"Drago.OR4","2016-08-07 23:45:00",29.89,28.27,29.107535218254,1.62,2016-08-07
"Punta.IR1","2016-08-07 23:45:00",30.773,28.916,29.803558531746,1.857,2016-08-07
"STRI.IR2","2016-08-07 23:45:00",29.715,28.345,29.0685753968254,1.37,2016-08-07
"Cristo.IR3.arr1","2016-08-07 23:45:00",31.1527777777778,28.245,29.6690106922399,2.90777777777778,2016-08-07
"Cayo.OR3.arr3","2016-08-14 00:00:00",31.255,28.493,29.8129416522242,2.762,2016-08-14
"Drago.OR4","2016-08-14 00:00:00",30.621,28.444,29.4571091854419,2.177,2016-08-14
"Punta.IR1","2016-08-14 00:00:00",30.824,28.916,29.8527180820335,1.908,2016-08-14
"STRI.IR2","2016-08-14 00:00:00",30.066,28.916,29.4775326400924,1.15,2016-08-14
"Cristo.IR3.arr1","2016-08-14 00:00:00",31.765,28.99,30.2144508633417,2.775,2016-08-14
