"logger","datetime","max","min","mean","range","date","month"
"STRI.IR2","2016-03-31 23:45:00",29.991,27.924,28.9738200044803,2.067,2016-03-31,"mar"
"Cristo.IR3.arr1","2016-03-31 23:45:00",31.8161111111111,28.0227777777778,29.8829737280964,3.79333333333334,2016-03-31,"mar"
"Cayo.OR3.arr3","2016-04-30 23:45:00",32.098,28.543,30.1544861111111,3.555,2016-04-30,"apr"
"Drago.OR4","2016-04-30 23:45:00",31.255,28.369,29.6787520833333,2.886,2016-04-30,"apr"
"Punta.IR1","2016-04-30 23:45:00",31.842,29.09,30.3658708333333,2.752,2016-04-30,"apr"
"STRI.IR2","2016-04-30 23:45:00",31.001,28.965,29.886350462963,2.036,2016-04-30,"apr"
"Cristo.IR3.arr1","2016-04-30 23:45:00",33.365,28.7422222222222,30.8093391203704,4.62277777777778,2016-04-30,"apr"
"Cayo.OR3.arr3","2016-05-31 23:45:00",32.433,29.165,30.6531767473118,3.268,2016-05-31,"may"
"Drago.OR4","2016-05-31 23:45:00",31.663,28.742,30.1112581765233,2.921,2016-05-31,"may"
"Punta.IR1","2016-05-31 23:45:00",32.15,29.29,30.5952921146953,2.86,2016-05-31,"may"
"STRI.IR2","2016-05-31 23:45:00",31.586,29.24,30.312720094086,2.346,2016-05-31,"may"
"Cristo.IR3.arr1","2016-05-31 23:45:00",33.5477777777778,29.265,31.1917940437077,4.28277777777777,2016-05-31,"may"
"Cayo.OR3.arr3","2016-06-30 23:45:00",32.175,28.841,30.3864981481481,3.334,2016-06-30,"jun"
"Drago.OR4","2016-06-30 23:45:00",31.204,28.617,29.9040059027778,2.587,2016-06-30,"jun"
"Punta.IR1","2016-06-30 23:45:00",31.842,28.941,30.4219134259259,2.901,2016-06-30,"jun"
"STRI.IR2","2016-06-30 23:45:00",31.103,29.315,30.1598619212963,1.788,2016-06-30,"jun"
"Cristo.IR3.arr1","2016-06-30 23:45:00",32.7422222222222,29.34,30.9122861368313,3.40222222222222,2016-06-30,"jun"
"Cayo.OR3.arr3","2016-07-31 23:45:00",30.016,27.924,28.9397411514337,2.092,2016-07-31,"jul"
"Drago.OR4","2016-07-31 23:45:00",29.665,27.702,28.7037903225806,1.963,2016-07-31,"jul"
"Punta.IR1","2016-07-31 23:45:00",30.167,28.369,29.2780829973118,1.798,2016-07-31,"jul"
"STRI.IR2","2016-07-31 23:45:00",29.49,28.369,28.9208353494624,1.121,2016-07-31,"jul"
"Cristo.IR3.arr1","2016-07-31 23:45:00",31.5861111111111,28.0227777777778,29.5924906038431,3.56333333333334,2016-07-31,"jul"
"Cayo.OR3.arr3","2016-08-14 00:00:00",31.255,28.493,29.7801449159327,2.762,2016-08-14,"NA"
"Drago.OR4","2016-08-14 00:00:00",30.621,28.27,29.3733336002135,2.351,2016-08-14,"NA"
"Punta.IR1","2016-08-14 00:00:00",30.824,28.916,29.8354152655458,1.908,2016-08-14,"NA"
"STRI.IR2","2016-08-14 00:00:00",30.066,28.345,29.2325225513744,1.721,2016-08-14,"NA"
"Cristo.IR3.arr1","2016-08-14 00:00:00",31.765,28.245,29.9160630726804,3.52000000000001,2016-08-14,"NA"
