"obv"	"datetime"	"temp"	"date"	"time"	"datetimew"
"65"	901	"6/10/15 16:00"	29.765	"6/10/15"	"16:00"	2015-06-10 16:00:00
"66"	902	"6/10/15 16:15"	29.69	"6/10/15"	"16:15"	2015-06-10 16:15:00
"67"	903	"6/10/15 16:30"	29.565	"6/10/15"	"16:30"	2015-06-10 16:30:00
"68"	904	"6/10/15 16:45"	29.54	"6/10/15"	"16:45"	2015-06-10 16:45:00
"69"	905	"6/10/15 17:00"	29.59	"6/10/15"	"17:00"	2015-06-10 17:00:00
"70"	906	"6/10/15 17:15"	29.565	"6/10/15"	"17:15"	2015-06-10 17:15:00
"71"	907	"6/10/15 17:30"	29.54	"6/10/15"	"17:30"	2015-06-10 17:30:00
"72"	908	"6/10/15 17:45"	29.49	"6/10/15"	"17:45"	2015-06-10 17:45:00
"73"	909	"6/10/15 18:00"	29.49	"6/10/15"	"18:00"	2015-06-10 18:00:00
"74"	910	"6/10/15 18:15"	29.49	"6/10/15"	"18:15"	2015-06-10 18:15:00
"75"	911	"6/10/15 18:30"	29.515	"6/10/15"	"18:30"	2015-06-10 18:30:00
"76"	912	"6/10/15 18:45"	29.515	"6/10/15"	"18:45"	2015-06-10 18:45:00
"77"	913	"6/10/15 19:00"	29.54	"6/10/15"	"19:00"	2015-06-10 19:00:00
"78"	914	"6/10/15 19:15"	29.515	"6/10/15"	"19:15"	2015-06-10 19:15:00
"79"	915	"6/10/15 19:30"	29.515	"6/10/15"	"19:30"	2015-06-10 19:30:00
"80"	916	"6/10/15 19:45"	29.565	"6/10/15"	"19:45"	2015-06-10 19:45:00
"81"	917	"6/10/15 20:00"	29.565	"6/10/15"	"20:00"	2015-06-10 20:00:00
"82"	918	"6/10/15 20:15"	29.565	"6/10/15"	"20:15"	2015-06-10 20:15:00
"83"	919	"6/10/15 20:30"	29.565	"6/10/15"	"20:30"	2015-06-10 20:30:00
"84"	920	"6/10/15 20:45"	29.59	"6/10/15"	"20:45"	2015-06-10 20:45:00
"85"	921	"6/10/15 21:00"	29.59	"6/10/15"	"21:00"	2015-06-10 21:00:00
"86"	922	"6/10/15 21:15"	29.615	"6/10/15"	"21:15"	2015-06-10 21:15:00
"87"	923	"6/10/15 21:30"	29.59	"6/10/15"	"21:30"	2015-06-10 21:30:00
"88"	924	"6/10/15 21:45"	29.54	"6/10/15"	"21:45"	2015-06-10 21:45:00
"89"	925	"6/10/15 22:00"	29.565	"6/10/15"	"22:00"	2015-06-10 22:00:00
"90"	926	"6/10/15 22:15"	29.49	"6/10/15"	"22:15"	2015-06-10 22:15:00
"91"	927	"6/10/15 22:30"	29.464	"6/10/15"	"22:30"	2015-06-10 22:30:00
"92"	928	"6/10/15 22:45"	29.515	"6/10/15"	"22:45"	2015-06-10 22:45:00
"93"	929	"6/10/15 23:00"	29.565	"6/10/15"	"23:00"	2015-06-10 23:00:00
"94"	930	"6/10/15 23:15"	29.565	"6/10/15"	"23:15"	2015-06-10 23:15:00
"95"	931	"6/10/15 23:30"	29.565	"6/10/15"	"23:30"	2015-06-10 23:30:00
