frag,survivedtoend,treat,pasastan1,pasastan2,pasastan3,pasarec1,pasarec2,pasarec3,blastvol,blaster,hprotplate,hprot1,hprot2,hprot3,chl630_1,chl630_2,chl630_3,chl663_1,chl663_2,chl663_3,symcount1,symcount2,symcount3,symmit1,symmit2,symmit3,tisthick1,tisthick2,tisthick3,tisthick4,tisthick5,tisthick6,origsitecode,sitename,newsitecode,fragid,nubbin,reef,SAcm2,symcm2,symmit,tissue,chl630adj,chl663adj,chlA,chlC2
O3E6,NA,init,264865,265287,263198,876865,870423,871191,15,Darren,O4,0.175,0.172,0.281,0.234,0.267,0.27,0.7,0.796,0.809,161,69,128,0,0,0,5.8,5.1,5.1,3.9,4.6,5.4,O3,O-Cayo de Agua,OCA,E6,OCAE6,Outer Reef,13.20213777,1355841.025,0,4.983333333,0.2136,0.726833333,14.56806441,7.519686715
O3F6,NA,init,264084,264472,264861,969523,962042,964841,13,Olivia,O4,0.109,0.107,0.114,0.073,0.081,0.08,0.219,0.241,0.242,88,100,113,0,0,0,3.6,4.1,4.3,4.2,3.7,4.8,O3,O-Cayo de Agua,OCA,F6,OCAF6,Outer Reef,14.60218775,893245.1462,0,4.116666667,0.0346,0.1925,3.496507569,0.244192176
O3G6,NA,init,264839,264143,263885,942586,941179,940142,11,Joyce,D2,0.225,0.209,0.225,0.321,0.369,0.374,0.867,1.003,1.014,291,334,378,0,0,0,6,5,5.9,6.8,5.1,5.7,O3,O-Cayo de Agua,OCA,G6,OCAG6,Outer Reef,14.2465609,2581441.72,0,5.75,0.311266667,0.919833333,17.06929799,11.79190832
O3H6,NA,init,263140,265308,262844,737167,734463,734980,12,Lauren,O4,0.189,0.188,0.191,0.14,0.162,0.162,0.431,0.497,0.492,210,185,173,0,0,0,5.2,4.1,4.8,4.3,4.4,4.9,O3,O-Cayo de Agua,OCA,H6,OCAH6,Outer Reef,11.15446637,2036852.258,0,4.616666667,0.111266667,0.431833333,10.25178521,3.837506752
O3I6,NA,init,264043,264397,265036,919241,921047,920657,20,Darren,D8,0.152,0.156,0.143,NA,NA,NA,NA,NA,NA,65,62,59,0,0,0,4.2,3.8,4.3,5.3,5.5,5.1,O3,O-Cayo de Agua,OCA,I6,OCAI6,Outer Reef,13.91822815,890918.0009,0,4.7,NA,NA,NA,NA
O4A6,NA,init,261728,262558,262827,1335964,1336876,1338251,20,Lauren,O4,0.238,0.257,0.243,0.245,0.284,0.279,0.724,0.83,0.824,136,142,135,0,0,0,5.8,6.7,6.9,6,5.9,5.5,O4,O-Bastimentos N,OBN,A6,OBNA6,Outer Reef,20.38381274,1350745.009,0,6.133333333,0.225933333,0.751166667,9.749919172,5.296366355
O4C10,NA,init,263519,263583,264168,1282465,1288173,1281092,15,Olivia,O4,0.201,0.205,0.216,0.192,0.218,0.219,0.568,0.643,0.643,216,161,252,0,0,0,6,5.4,4.8,5.1,4.6,4.8,O4,O-Bastimentos N,OBN,C10,OBNC10,Outer Reef,19.47112869,1615211.963,0,5.116666667,0.166266667,0.5765,7.835522142,3.876515902
O4D6,NA,init,265033,264687,264936,1214299,1212658,1227244,20,Sarah,D5,0.139,0.211,0.222,0.244,0.276,0.294,0.643,0.729,0.752,128,191,198,0,0,0,5.1,4.8,4.6,5,5.6,4.3,O4,O-Bastimentos N,OBN,D6,OBND6,Outer Reef,18.39387609,1873812.05,0,4.9,0.227933333,0.6665,9.578810856,6.752363633
O4E6,NA,init,264173,262800,263531,1082180,1083633,1083659,15,Lauren,D7,0.141,0.151,0.159,0.173,0.184,0.19,0.413,0.442,0.443,151,139,177,0,2,1,7.1,7.3,6.5,5.2,4.9,7,O4,O-Bastimentos N,OBN,E6,OBNE6,Outer Reef,16.44253287,1420097.511,0.006423983,6.333333333,0.138933333,0.391166667,6.287250724,4.757864293
O4F6,NA,init,262756,262543,263824,1200557,1197998,1198068,16,Olivia,O4,0.156,0.154,0.155,0.002,0.001,0.002,0.005,0.006,0.005,210,232,151,0,0,0,5.7,5.5,4.8,4.9,4.2,5.2,O4,O-Bastimentos N,OBN,F6,OBNF6,Outer Reef,18.23098807,1734775.238,0,5.05,-0.041733333,-0.036166667,-0.515726664,-2.035800794
O4G6,NA,init,263502,262367,264209,1535708,1533972,1547808,12,Olivia,O4,0.262,0.262,0.274,0.346,0.405,0.405,1.076,1.252,1.249,715,365,744,0,0,0,5.9,5.6,5,4,4.9,4.5,O4,O-Bastimentos N,OBN,G6,OBNG6,Outer Reef,23.37737793,3120965.928,0,4.983333333,0.341933333,1.150833333,13.02564361,6.888982181
O4H12,NA,init,263589,263566,262123,714098,710924,709057,12,Joyce,D1,0.16,0.156,0.169,0.264,0.291,0.286,0.672,0.743,0.718,329,378,385,0,0,0,5.8,5.7,5.1,5,5.7,5.2,O4,O-Bastimentos N,OBN,H12,OBNH12,Outer Reef,10.8153477,4038705.109,0,5.416666667,0.236933333,0.6695,16.36021929,12.29822135
O4I6,NA,init,262710,261756,263219,1266200,1266265,1264674,12,Darren,O6,0.087,0.083,0.086,0.431,0.501,0.497,0.471,0.546,0.543,128,123,120,0,0,0,5,5.6,5.5,5.2,5,5.4,O4,O-Bastimentos N,OBN,I6,OBNI6,Outer Reef,19.28252537,769608.737,0,5.283333333,0.432933333,0.4785,6.484568674,19.07039316
I3E6_v2,NA,init,265063,265082,265082,1047792,1046804,1045011,15,Lauren,O5,0.08,0.079,0.068,0.1,0.116,0.112,0.292,0.339,0.329,106,90,92,0,0,1,6,5.8,5.6,3.3,5.3,5.1,I3,I-Cristobal,ICB,E6,ICBE6,Inner Reef,15.79225554,911839.348,0.003472222,5.183333333,0.065933333,0.2785,4.671952008,1.366526773
