"frag","treat","sitename","lineage","hcarb_mgcm2","scarb_mgcm2","prot_mgcm2","pam","sym_cm2","chlA","T3_T0_rgr_2"
"I4C3","Mod Var","PD","L2",-1.88348025633725,-2.31858586467889,-2.21534872447673,-0.540140011434766,12.7675632646218,1.26759252368342,0.693462880078791
"O4B3","Mod Var","BN","L1",-0.76542758742911,-1.97601549156897,-0.445791005483168,-0.568572445978315,14.3961144991751,1.88668794275978,0.693398783798653
"O4C3","Mod Var","BN","L1",-1.02102084818422,-2.30530238657752,-1.19965632335466,-0.545302053295964,14.3342248280439,1.13322865625083,0.693465574295277
"I2D3","Mod Var","SP","L3",-2.54148327848518,-2.67638332037001,-3.14667536982539,-0.738842139822075,11.6542485245243,-0.66419608764355,0.693504594220267
"I2E3","Mod Var","SP","L2",-1.03187031644089,-2.64143295322088,-1.86938742900808,-0.581009680623095,13.6609393444748,0.766070041121971,0.69333790026498
"I3D3","Mod Var","CI","L2",-1.06210407698051,-2.19520634250248,-1.38127655874048,-1.12804109935892,13.5312648414119,0.709750073063072,0.693276568164232
"I3E3","Mod Var","CI","L2",-1.75368954980299,-2.00195888420115,-2.70880389592141,-0.608193474679782,13.3630672411999,0.315336311608712,0.693431384507501
"I4E3","Mod Var","PD","L2",-1.16596174495911,-1.96760513417434,-1.65360501306137,-0.685179010910768,13.317156684223,0.522578699764765,0.693181287333977
"O2D3","Mod Var","BS","L1",-1.06008319615278,-2.29000871825104,-1.75697772638465,-0.467872568236781,13.9090895004089,1.65335484016981,0.69350220672936
"O2E3","Mod Var","BS","L1",-1.09831954389635,-1.73995060518374,-1.52988410346441,-0.611260021087761,13.4673951270179,1.24177908321962,0.693152190786978
"O2F3","Mod Var","BS","L1",-0.929032585107514,-2.69424361124018,-1.11168314289466,-0.74795541705494,14.1922454901223,0.85276103527191,0.693530920110196
"O3E3","Mod Var","CA","L1",-0.981595927422619,-1.26613225189058,-0.922513835344566,-0.58279912339108,14.4420001362391,1.61403747959754,0.693462899729608
"O4F3","Mod Var","BN","L1",-1.25449634763899,-2.23713574113245,-1.27636716115626,-0.614952332974888,12.6589176704906,0.871710422983682,0.693624505809787
"I2I3","Mod Var","SP","L3",-1.99701992938819,-2.66418870477782,-3.41375164945394,-0.727048732235627,13.1739640243365,-0.0741875151538788,0.69333843034964
"I3G3","Mod Var","CI","L2",-1.29238059016817,-1.38302835467059,-2.25535776697058,-0.705219761794215,14.6262336430496,1.97923181249822,0.693580332398224
"I3H3","Mod Var","CI","L1",-1.16052922937249,-1.72179508753359,-2.75154851478792,-0.648173814917214,13.7253469098351,1.06469393920335,0.6932377205981
"I3I3","Mod Var","CI","L1",-0.791703465012379,-1.39348008232293,-1.34999080758931,-0.573292218751666,14.8521734638719,1.68054113533518,0.693365851513031
"I4H3","Mod Var","PD","L2",-1.09917269251664,-1.58972838028237,-2.07660095525977,-0.509160344446929,13.8683900717756,1.05344291649098,0.693408099469639
"O4H3","Mod Var","BN","L1",-1.49462040283361,-1.95449768176003,-1.2084023665068,-0.817954831153293,13.9592305944845,1.27185426745726,0.693531775919091
"I2A4","High Var","SP","L2",-1.62816257202571,-3.0572435845624,-2.52218645381977,-0.920466103284636,12.3961583082094,0.136002223876584,0.69325765962345
"I2B4","High Var","SP","L2",-1.64737293845905,-2.66109509108656,-2.19597390399991,-0.541857733013719,12.3848893267719,0.46803804456767,0.693375215315574
"I2C4","High Var","SP","L2",-1.10891749418137,-2.650184429553,-3.17409358748025,-0.689155159290408,11.6908564554572,-0.667871367100557,0.693112734364062
"I3C4","High Var","CI","L2",-1.20860015071079,-2.36014021455707,-2.05841783588559,-0.480727592608711,13.9314917804659,1.47177389194443,0.693352634153854
"I4A4","High Var","PD","L1",-1.10218373705013,-1.79506785907194,-1.27431324268789,-0.545302053295964,13.116933222705,0.591530375111328,0.693105961239091
"I4B4","High Var","PD","L2",-1.62422006519013,-3.60938834826263,-3.23294935539041,-0.538425235364395,12.3058857077914,0.0850039466075201,0.693236777462159
"I4C4","High Var","PD","L2",-1.76194896466785,-2.50245394285686,-2.67830245635085,-0.539568092631645,13.7110973651538,0.266108648689898,0.693396809753687
"O3B4","High Var","CA","L1",-1.52757110247826,-2.008079798749,-1.52222306342034,-0.610645959048202,13.5902448047448,1.18277553895714,0.693484612574894
"O3C4","High Var","CA","L1",-1.23968124609756,-1.81564092888501,-1.59983390451036,-0.546452801409142,13.5471392816868,2.14808674250761,0.693379635762835
"O4A4","High Var","BN","L1",-2.09574563642359,-2.03210463863357,-2.59575497740813,-0.796287939479459,12.3319301003173,-0.515760459228847,0.693388903832764
"I2D4","High Var","SP","L3",-2.05087785462326,-3.1542549585231,-2.33180566889725,-0.753605149597059,12.6087970434512,-0.177721370438561,0.693406654959816
"I2E4","High Var","SP","L2",-1.73533164481648,-3.65725854596143,-3.04872370848655,-0.68253700144793,12.0736462078085,-1.07077599403783,0.693362976852593
"I2F4","High Var","SP","L2",-1.58754719342207,-3.25900704174258,-2.18474357018156,-0.791127588920149,11.6922929914665,-1.20804883134793,0.693312507335372
"I3E4","High Var","CI","L2",-2.12676562050917,-3.28284163466342,-1.36154775664239,-0.714711358475786,12.128470238212,-0.515289027814676,0.693552642605072
"I4D4","High Var","PD","L2",-0.70904572219283,-2.2279499116583,-2.24831635273032,-0.681218609694672,12.828455861452,2.05311977434938,0.693037595604369
"I4F4","High Var","PD","L2",-1.30503675974872,-2.6458733054942,-2.08838089051756,-0.591794686299658,11.6406279687259,0.190976274540772,0.693385434073319
"O2E4","High Var","BS","L1",-0.987335843091183,-2.27831192466272,-1.61163191445491,-0.565047177932629,13.1547121720672,0.825252970795137,0.693470863554499
"O4D4","High Var","BN","L1",-0.982400648240089,-2.55220615447919,-1.78782642163155,-0.586387643988412,12.9910755951449,-0.0470219741757269,0.693624749945561
"O4D4","High Var","BN","L1",-0.982400648240089,-2.55220615447919,-1.78782642163155,-0.586387643988412,12.9910755951449,-0.248862847739812,0.693624749945561
"O4E4","High Var","BN","L1",-0.746664325113837,-2.05183390268985,-1.77282078891263,-0.731195248197475,12.4836228085779,0.817968569060436,0.69347773257022
"I2H4","High Var","SP","L3",-2.12769756942069,-2.51845181782741,-2.57790297283599,-0.708599285118867,11.8682752989457,0.498404699547687,0.693478851344555
"I2I4","High Var","SP","L3",-2.45297317843299,-3.40798929542375,-3.61941602243618,-0.687165108882398,11.0516783896132,-0.925673902956131,0.693472906729366
"I3G4","High Var","CI","L2",-1.4324899647335,-1.70333987621871,-2.11496004962315,-0.601479992034121,12.5906264297249,1.15236384244369,0.693555988461602
"I3I4","High Var","CI","L1",-1.01383279512089,-1.91826284431999,-1.32750296724631,-0.512493680866688,12.9276805439091,1.61567333039449,0.693312322563553
"I4H4","High Var","PD","L2",-1.36377918734224,-2.77262858048491,-2.10454599213786,-0.487760350834995,13.1462226006786,0.658865154228259,0.693583827932446
"I4I4","High Var","PD","L2",-1.28365467312337,-3.57871320339071,-1.83061643150735,-0.483426649577876,13.2537677221363,0.985088363538941,0.6932488189379
"O2G4","High Var","BS","L2",-1.53680490844091,-3.17912734272034,-2.6922094419962,-0.797027311047337,11.6897310238595,-0.275207229635584,0.693254266916304
"O2I4","High Var","BS","L1",-1.05973009959574,-2.32376224833887,-1.3318638502723,-0.498677489830343,13.398988879458,1.18974654339753,0.693737577900102
