SAMPLE_ID,PROJECT,,
W_IR_SP_5_S,Panama cores,2,
W_OR_BN_7_S,Panama cores,1,
W_OR_BN_9_S,Panama cores,1,
W_OR_BN_14_S,Panama cores,1,
W_OR_BN_15_S,Panama cores,1,
W_OR_BN_16_S,Panama cores,1,
W_OR_BS_17_S,Panama cores,NA,low coverage
W_OR_BS_20_S,Panama cores,NA,didn't sequence
W_OR_BS_22_S,Panama cores,1,
W_OR_BS_23_S,Panama cores,1,
W_OR_BS_25_S,Panama cores,1,
W_OR_CA_35_S,Panama cores,1,
W_OR_DM_38_S,Panama cores,NA,didn't sequence
W_OR_DM_40_S,Panama cores,1,
W_OR_DM_41_S,Panama cores,1,
W_OR_DM_42_S,Panama cores,1,
W_IR_PL_47_S,Panama cores,3,
W_IR_PL_48_S,Panama cores,NA,didn't sequence
W_IR_PL_51_S,Panama cores,2,
W_IR_CI_57_S,Panama cores,1,
W_IR_PD_59_S,Panama cores,2,
W_IR_PD_60_S,Panama cores,2,
W_IR_PD_61_S,Panama cores,2,
W_IR_PD_63_S,Panama cores,2,
I2H,Hannah's from 2020 - L3,3,
I2I,Hannah's from 2020 - L3,3,
I2D,Hannah's from 2020 - L3,3,
I2E,Hannah's from 2020 - L2,2,
I3C,Hannah's from 2020 - L2,2,
I4F,Hannah's from 2020 - L2,2,
I3D,Hannah's from 2020 - L2,2,
O4F,Hannah's from 2020 - L1,1,
O2A,Hannah's from 2020 - L1,1,
I3I,Hannah's from 2020 - L1,1,
O2C,Hannah's from 2020 - L1,1,
