"frag","B19_sum","B5_sum","C1_sum","C3_sum","C3af_sum","C15_sum","D1_sum","Sample_or_Control","treat","gen_site","sitename","reef","lineage","dominant_type","minor_type"
"I3C5",0,0,1,0,0,0,0,"Sample","Control","I3C","CI","Inner Reef","L2","C1",NA
"I3G1",0,0,1,0,0,0,0,"Sample","Control","I3G","CI","Inner Reef","L2","C1",NA
"I2E2",0,0,1,0,0,0,0,"Sample","Low Var","I2E","SP","Inner Reef","L2","C1",NA
"I3G4",0,0,0.945322403447984,0,0,0,0.0546775965520155,"Sample","High Var","I3G","CI","Inner Reef","L2","C1","D1"
"I3C4",0,0,1,0,0,0,0,"Sample","High Var","I3C","CI","Inner Reef","L2","C1",NA
"I3I2",0,0,0.936706349206349,0,0,0,0.0632936507936508,"Sample","Low Var","I3I","CI","Inner Reef","L1","C1","D1"
"I3F4",0,0,1,0,0,0,0,"Sample","High Var","I3F","CI","Inner Reef","L1","C1",NA
"I3H8",0,0,0.914799853103195,0,0,0,0.085200146896805,"Sample","High Var","I3H","CI","Inner Reef","L1","C1","D1"
"O3H1",0,0,0.915350223546945,0,0,0,0.0846497764530551,"Sample","Control","O3H","CA","Outer Reef","L1","C1","D1"
"I3H3",0,0,0.844239631336406,0,0,0,0.155760368663594,"Sample","Mod Var","I3H","CI","Inner Reef","L1","C1","D1"
"I3H5",0,0,0.751056951007212,0,0,0,0.248943048992788,"Sample","Control","I3H","CI","Inner Reef","L1","C1","D1"
"O2G2",0,0,0.777998580553584,0,0,0,0.222001419446416,"Sample","Low Var","O2G","BS","Outer Reef","L2","C1","D1"
"O3G2",0,0,0.776735050196421,0,0,0,0.223264949803579,"Sample","Low Var","O3G","CA","Outer Reef","L1","C1","D1"
"O3B1",0,0,0.678795961135454,0,0,0,0.321204038864546,"Sample","Control","O3B","CA","Outer Reef","L1","C1","D1"
"O4F3",0,0,0.779574468085106,0,0,0,0.220425531914894,"Sample","Mod Var","O4F","BN","Outer Reef","L1","C1","D1"
"I3E3",0,0,0.616768443637564,0,0,0,0.383231556362436,"Sample","Mod Var","I3E","CI","Inner Reef","L2","C1","D1"
"O2F3",0,0,0,0,0,0,1,"Sample","Mod Var","O2F","BS","Outer Reef","L1","D1",NA
"O2F1",0,0,0,0,0,0,1,"Sample","Control","O2F","BS","Outer Reef","L1","D1",NA
"O3B2",0,0,0,0,0,0,1,"Sample","Low Var","O3B","CA","Outer Reef","L1","D1",NA
"I3E2",0,0,0,0,0,0,1,"Sample","Low Var","I3E","CI","Inner Reef","L2","D1",NA
"O4H2",0,0,0,0,0,0,1,"Sample","Low Var","O4H","BN","Outer Reef","L1","D1",NA
"I3D3",0,0,0,0,0,0,1,"Sample","Mod Var","I3D","CI","Inner Reef","L2","D1",NA
"O3D2",0,0,0,0,0,0,1,"Sample","Low Var","O3D","CA","Outer Reef","L1","D1",NA
"O3C4",0,0,0,0,0,0,1,"Sample","High Var","O3C","CA","Outer Reef","L1","D1",NA
"O2G4",0,0,0,0,0,0,1,"Sample","High Var","O2G","BS","Outer Reef","L2","D1",NA
"O4C1",0,0,0,0,0,0,1,"Sample","Control","O4C","BN","Outer Reef","L1","D1",NA
"O4G7",0,0,0,0,0,0,1,"Sample","Mod Var","O4G","BN","Outer Reef","L1","D1",NA
"O4E2",0,0,0,0,0,0,1,"Sample","Low Var","O4E","BN","Outer Reef","L1","D1",NA
"O3F3",0,0,0,0,0,0,1,"Sample","Mod Var","O3F","CA","Outer Reef","L1","D1",NA
"O3I3",0,0,0,0,0,0,1,"Sample","Low Var","O3I","CA","Outer Reef","L1","D1",NA
"O4F4",0,0,0,0,0,0,1,"Sample","High Var","O4F","BN","Outer Reef","L1","D1",NA
"O2G7",0,0,0,0,0,0,1,"Sample","Mod Var","O2G","BS","Outer Reef","L2","D1",NA
"O4F2",0,0,0,0,0,0,1,"Sample","Low Var","O4F","BN","Outer Reef","L1","D1",NA
"O3C1",0,0,0,0,0,0,1,"Sample","Control","O3C","CA","Outer Reef","L1","D1",NA
"O4D2",0,0,0,0,0,0,1,"Sample","Low Var","O4D","BN","Outer Reef","L1","D1",NA
"O3I11",0,0,0,0,0,0,1,"Sample","Mod Var","O3I","CA","Outer Reef","L1","D1",NA
"O2G1",0,0,0,0,0,0,1,"Sample","Control","O2G","BS","Outer Reef","L2","D1",NA
"O4A17",0,0,0,0,0,0,1,"Sample","Mod Var","O4A","BN","Outer Reef","L1","D1",NA
"O4E4",0,0,0,0,0,0,1,"Sample","High Var","O4E","BN","Outer Reef","L1","D1",NA
"O3C10",0,0,0,0,0,0,1,"Sample","Mod Var","O3C","CA","Outer Reef","L1","D1",NA
"O4E1",0,0,0,0,0,0,1,"Sample","Control","O4E","BN","Outer Reef","L1","D1",NA
"O4H3",0,0,0,0,0,0,1,"Sample","Mod Var","O4H","BN","Outer Reef","L1","D1",NA
"I3E4",0,0,0,0,0,0,1,"Sample","High Var","I3E","CI","Inner Reef","L2","D1",NA
"O4E10",0,0,0,0,0,0,1,"Sample","Mod Var","O4E","BN","Outer Reef","L1","D1",NA
"O4A2",0,0,0,0,0,0,1,"Sample","Low Var","O4A","BN","Outer Reef","L1","D1",NA
"O3D1",0,0,0,0,0,0,1,"Sample","Control","O3D","CA","Outer Reef","L1","D1",NA
"O2H8",0,0,0,0,0,0,1,"Sample","Mod Var","O2H","BS","Outer Reef","L1","D1",NA
"O3I13",0.123879380603097,0,0,0,0,0,0.876120619396903,"Sample","High Var","O3I","CA","Outer Reef","L1","D1","B19"
"O3F4",0,0,0,0,0,0,1,"Sample","High Var","O3F","CA","Outer Reef","L1","D1",NA
"O3E10",0,0,0,0,0,0,1,"Sample","Control","O3E","CA","Outer Reef","L1","D1",NA
"O2H2",0,0,0,0,0,0,1,"Sample","Control","O2H","BS","Outer Reef","L1","D1",NA
"O3F13",0,0,0,0,0,0,1,"Sample","Control","O3F","CA","Outer Reef","L1","D1",NA
