frag,survivedtoend,endtank,treat,normtankpa,pabwrec1,pabwrec2,pabwrec3,normtankt0,t0bwrec1,t0bwrec2,t0bwrec3,normtankt1,t1bwrec1,t1bwrec2,t1bwrec3,normtankt2,t2bwrec1,t2bwrec2,t2bwrec3,normtankt3,t3bwrec1,t3bwrec2,t3bwrec3,pasastan1,pasastan2,pasastan3,pasarec1,pasarec2,pasarec3,t0sastan1,t0sastan2,t0sastan3,t0sarec1,t0sarec2,t0sarec3,t1sastan1,t1sastan2,t1sastan3,t1sarec1,t1sarec2,t1sarec3,t2sastan1,t2sastan2,t2sastan3,t2sarec1,t2sarec2,t2sarec3,t3sastan1,t3sastan2,t3sastan3,t3sarec1,t3sarec2,t3sarec3,blastvol,blaster,hprotplate,hprot1,hprot2,hprot3,hcarbplate,hcarb1,hcarb2,hcarb3,scarbplate,scarb1,scarb2,scarb3,chl630_1,chl630_2,chl630_3,chl663_1,chl663_2,chl663_3,symcount1,symcount2,symcount3,symmit1,symmit2,symmit3,papamrec1,papamrec2,papamrec3,t0pamrec1,t0pamrec2,t0pamrec3,t1pamrec1,t1pamrec2,t1pamrec3,t2pamrec1,t2pamrec2,t2pamrec3,t3pamrec1,t3pamrec2,t3pamrec3,t4pamrec1,t4pamrec2,t4pamrec3,t5pamrec1,t5pamrec2,t5pamrec3,t6pamrec1,t6pamrec2,t6pamrec3,t7pamrec1,t7pamrec2,t7pamrec3,t8pamrec1,t8pamrec2,t8pamrec3,t9pamrec1,t9pamrec2,t9pamrec3
I2A1,yes,1_1,1,1_1,25.167,25.163,25.161,1_1,25.232,25.231,25.232,1_1,25.316,25.318,25.32,1_1,25.314,25.313,25.316,1_1,25.525,25.524,25.522,297576,297858,298390,1604687,1604437,1604575,292670,294032,394288,1625308,1625816,1622710,306516,307414,311251,1648694,1645211,1647186,307813,305901,305549,1630203,1633844,1633993,320658,319222,319773,1695937,1696249,1695342,19,Darren,D1,0.152,0.159,0.075,O1,0.308,0.368,0.263,NA,NA,NA,NA,0.116,0.137,0.13,0.122,0.143,0.137,12,10,13,1,0,0,0.599,0.613,0.582,0.544,0.517,NA,0.5,0.45,0.494,0.475,0.493,0.503,0.516,0.504,0.493,0.453,0.424,0.439,0.426,0.433,0.434,0.501,0.463,0.507,0.464,0.454,0.464,0.442,0.45,0.435,0.465,0.453,0.411
I2B8,yes,1_1,1,1_1,33.485,33.493,33.488,1_1,33.549,33.558,33.554,1_1,33.722,33.722,33.723,1_1,34.251,34.251,34.249,1_1,NA,NA,NA,297563,298111,297796,1952274,1951124,1950793,297494,297779,296168,2000812,1994276,1997733,311786,312112,312082,2038172,2045083,2045616,306350,303897,301748,2066845,2067463,2053675,317875,320675,317838,2115190,2114893,2115567,16,Darren,D1,0.143,0.154,0.148,O1,0.4,0.341,0.357,NA,NA,NA,NA,0.089,0.109,0.099,0.093,0.114,0.103,15,14,8,0,0,0,NA,NA,NA,0.588,0.614,0.57,0.554,0.598,0.557,0.563,0.592,0.549,0.524,0.565,0.531,0.534,0.531,0.54,0.511,0.542,0.561,0.589,0.596,0.589,0.554,0.555,0.548,0.579,0.548,0.556,0.568,0.554,0.55
I2C1,yes,1_1,1,1_1,26.888,26.887,26.888,1_1,26.83,26.82,26.825,1_1,26.688,26.688,26.689,1_1,26.563,26.562,26.561,1_1,26.444,26.442,26.442,296192,297256,298060,1315954,1314838,1315407,294817,293715,295312,1335793,1337348,1331411,312125,308535,310454,1363952,1362063,1364138,305301,306961,307258,1296216,1296456,1294457,319551,320082,320082,1321513,1322343,1321124,15,Darren,D1,0.139,0.138,0.136,O1,0.36,0.359,0.543,NA,NA,NA,NA,0.098,0.118,0.11,0.103,0.125,0.117,8,6,2,0,0,0,0.562,0.564,0.567,0.525,0.595,0.536,0.387,0.45,0.43,0.443,0.448,0.453,0.399,0.371,0.389,0.323,0.32,0.304,0.38,0.316,0.26,0.335,0.27,0.305,0.429,0.425,0.472,0.436,0.426,0.411,0.482,0.432,0.444
I3A1,yes,1_1,1,1_1,20.305,20.307,20.308,1_1,20.402,20.403,20.403,1_1,20.511,20.513,20.518,1_1,20.736,20.733,20.734,1_1,21.226,21.228,21.223,295650,297030,297282,1409053,1408921,1409115,294866,294022,291262,1379459,1376415,1375338,308413,310602,308643,1438536,1437165,1440182,307188,304179,304998,1434221,1432974,1437037,318739,317352,316764,1509693,1508591,1509872,11,Alyssa,D5,0.471,0.424,0.409,O1,1.282,1.199,1.326,NA,NA,NA,NA,0.396,0.46,0.451,0.434,0.505,0.487,173,293,233,4,4,1,0.643,0.641,0.648,0.6,0.586,NA,0.524,0.561,0.592,0.564,0.57,0.558,0.589,0.582,0.577,0.589,0.592,0.578,0.615,0.599,0.638,0.623,0.635,0.63,0.588,0.615,0.618,0.603,0.624,0.638,0.59,0.6,0.62
I3B1,yes,1_1,1,1_1,10.085,10.085,10.084,1_1,10.113,10.114,10.115,1_1,10.255,10.254,10.253,1_1,10.454,10.454,10.454,1_1,11.061,11.063,11.059,296695,296965,298594,978976,985333,977427,303930,302519,303025,991336,989133,992488,311817,309219,310153,1003703,1004766,1004871,308040,307511,308889,1040406,1041314,1040625,320930,321213,321763,1075434,1074527,1075982,14,Alyssa,D5,0.203,0.243,0.197,O1,0.668,0.618,0.53,NA,NA,NA,NA,0.172,0.209,0.208,0.185,0.226,0.224,93,78,91,0,0,0,0.599,0.6,0.577,0.527,0.541,0.526,0.505,0.455,0.514,0.469,0.482,0.474,0.554,0.567,0.536,0.521,0.524,0.536,0.549,0.526,0.571,0.552,0.593,0.539,0.55,0.559,0.545,0.545,0.511,0.536,0.576,0.538,0.559
I3C1,no,1_1,1,1_1,22.494,22.489,22.489,1_1,22.542,22.543,22.542,1_1,22.68,22.684,22.684,NA,NA,NA,NA,NA,NA,NA,NA,297846,299748,299206,1196963,1199029,1199347,298127,297818,298662,1237455,1237228,1238356,309562,310054,310384,1280226,1287043,1293791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.594,0.608,0.603,0.511,0.551,0.569,0.526,0.56,0.569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I3C5,yes,1_1,1,5_1,19.796,19.79,19.795,5_1,19.986,19.982,19.981,5_1,20.295,20.294,20.296,1_1,20.532,20.53,20.531,1_1,21.086,21.083,21.078,303570,301105,301097,1249809,1254895,1251373,300062,300575,301664,1240809,1244722,1243994,310813,309891,312548,1309270,1313564,1318582,305525,305576,305277,1344306,1341846,1346585,322056,315579,322056,1339115,1340335,1340138,20,Darren,D6,0.135,0.075,0.129,O1,0.555,0.567,0.582,NA,NA,NA,NA,0.168,0.189,0.186,0.18,0.202,0.199,24,61,71,0,0,0,0.641,0.637,0.652,0.548,0.558,0.548,0.606,0.559,0.576,0.588,0.614,0.61,0.591,0.616,0.613,0.583,0.59,0.61,0.569,0.578,0.585,0.586,0.631,0.591,0.579,0.57,0.563,0.588,0.597,0.563,0.564,0.577,0.559
I4A5,yes,1_1,1,5_1,29.749,29.753,29.753,5_1,29.622,29.619,29.618,5_1,29.492,29.49,29.49,1_1,29.427,29.427,29.426,1_1,29.527,29.517,29.521,296970,295039,297716,1470280,1476130,1480544,298599,299708,299684,1526852,1532088,1526338,NA,NA,NA,NA,NA,NA,306668,304724,307747,1482816,1485148,1488754,318069,318360,319192,1565256,1558149,1562891,16,Darren,D3,0.168,0.16,0.15,O1,0.351,0.4,0.244,NA,NA,NA,NA,0.065,0.07,0.068,0.167,0.177,0.177,61,69,109,0,1,0,0.664,0.65,0.663,0.598,0.598,0.607,0.594,0.554,0.598,0.536,0.546,0.518,0.6,0.599,0.636,0.625,0.635,0.635,0.479,0.476,0.47,0.555,0.581,0.571,0.555,0.531,0.529,0.613,0.564,0.59,0.526,0.576,0.569
I4B1,yes,1_1,1,1_1,19.227,19.227,19.227,1_1,19.274,19.272,19.272,1_1,19.308,19.306,19.303,1_1,19.284,19.286,19.285,1_1,19.222,19.22,19.217,299198,299472,300306,1190629,1190132,1190395,298077,297519,297267,1225324,1219467,1216846,308528,309358,310199,1232863,1232106,1233594,304480,305864,304976,1253789,1252903,1251938,320922,320373,318429,874960,849547,850293,14,Darren,D8,0.147,0.135,0.126,NA,NA,NA,NA,NA,NA,NA,NA,0.065,0.054,0.04,0.138,0.139,0.117,19,11,14,0,0,0,0.58,0.585,0.577,0.521,0.489,0.558,0.568,0.594,0.561,0.56,0.581,0.573,0.595,0.597,0.583,0.594,0.578,0.53,0.444,0.458,0.432,0.48,0.453,0.5,0.465,0.514,0.465,0.482,0.499,NA,0.462,0.439,0.447
I4C1,no,1_1,1,1_1,19.425,19.427,19.421,1_1,19.472,19.473,19.472,1_1,19.487,19.484,19.488,NA,NA,NA,NA,NA,NA,NA,NA,299504,300600,299512,1228533,1238191,1243509,NA,NA,NA,NA,NA,NA,312664,311208,311493,1318497,1313041,1318840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.624,0.641,0.635,0.573,0.648,0.576,0.585,0.593,0.553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O2A1,no,1_1,1,1_1,13.086,13.084,13.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301660,298656,301665,1145058,1144871,1145274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.627,0.639,0.603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O2A11,yes,1_1,1,2_1,12.362,12.361,12.362,1_1,12.329,12.326,12.328,1_1,12.299,12.304,12.299,1_1,12.282,12.282,12.284,1_1,12.334,12.333,12.332,299160,300530,298599,870290,871326,872147,295882,293693,296114,820135,820937,811390,308535,311595,311590,795770,786845,793574,303149,303944,304461,763227,758933,760284,317000,318401,317234,738461,741633,739568,14,Darren,D1,0.132,0.137,0.154,O1,0.482,0.439,0.424,NA,NA,NA,NA,0.172,0.197,0.194,0.181,0.208,0.205,43,17,31,0,0,1,NA,NA,NA,0.458,0.458,0.429,0.479,0.487,0.44,0.478,0.495,0.485,0.544,0.545,0.528,0.421,0.403,0.353,0.421,0.474,0.455,0.419,0.444,0.427,0.392,0.386,0.349,0.472,0.441,0.458,0.413,0.432,0.395
O2B5,yes,1_1,1,5_1,23.106,23.102,23.106,5_1,23.192,23.191,23.189,5_1,23.325,23.321,23.322,1_1,23.615,23.612,23.614,1_1,24.123,24.123,24.12,303584,290516,290560,1434770,1431445,1434616,306324,305484,304617,1472022,1471100,1466306,306594,304057,308248,1526244,1521133,15117608,293517,294056,297016,1506459,1509915,1510115,318400,318993,316681,1513820,1523005,1519483,19,Alyssa,D1,0.29,0.273,0.279,O1,0.545,0.438,0.478,NA,NA,NA,NA,0.199,0.219,0.23,0.215,0.238,0.249,105,111,110,1,3,3,NA,NA,NA,0.582,0.556,0.586,0.403,0.506,0.571,0.582,0.576,0.594,0.581,0.573,0.559,0.513,0.487,0.54,0.539,0.563,0.542,0.521,0.542,0.554,0.534,0.526,0.526,0.556,0.53,0.53,0.508,0.53,0.532
O2C1,yes,1_1,1,1_1,20.485,20.484,20.481,1_1,20.495,20.494,20.493,1_1,20.614,20.611,20.613,1_1,20.702,20.702,20.708,1_1,21.251,21.252,21.244,298338,299694,299149,1330910,1330976,1344492,290786,293172,293206,1351843,1362991,1362261,306697,309242,309818,1397285,1396425,1397965,303346,304170,305266,1353798,1351404,1353168,317749,317358,318896,1407907,1402493,1418392,19,Darren,D4,0.161,0.18,0.17,O1,0.388,0.558,0.447,NA,NA,NA,NA,0.163,0.087,0.084,0.176,0.092,0.089,77,25,72,0,0,0,0.614,0.612,0.626,0.524,0.535,0.569,0.538,0.492,0.491,0.469,0.482,0.474,0.562,0.566,0.544,0.544,0.556,0.544,0.562,0.55,0.571,0.535,0.542,0.513,0.527,0.516,0.518,0.5,0.523,0.492,0.52,0.513,0.506
O3A1,no,1_1,1,1_1,22.511,22.512,22.512,1_1,22.579,22.578,22.578,1_1,22.712,22.716,22.722,NA,NA,NA,NA,NA,NA,NA,NA,299755,299739,299179,1241204,1242958,1244535,296977,294230,295919,1286148,1280502,1278654,309292,308651,306513,1314190,1312794,1316103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.625,0.632,0.623,0.5,0.5,0.548,0.491,0.562,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O3B1,yes,1_1,1,1_1,18.148,18.145,18.143,1_1,18.294,18.292,18.292,1_1,18.483,18.483,18.484,1_1,18.723,18.724,18.723,1_1,19.451,19.449,19.451,298438,299572,300668,1569129,1562819,1566976,293997,296473,295332,1577936,1583674,1573970,312423,310753,312695,1621954,1626985,1620945,312453,309403,309111,1686001,1686785,1686215,315527,316125,318065,1674387,1660593,1671200,11,Darren,D1,0.465,0.46,0.414,O1,0.92,0.868,1.035,NA,NA,NA,NA,0.253,0.296,0.29,0.272,0.317,0.312,194,247,326,0,3,0,0.652,0.64,0.652,0.553,0.576,0.54,0.535,0.556,0.57,0.488,0.478,0.474,0.571,0.568,0.557,0.591,0.618,0.576,0.634,0.571,0.626,0.595,0.6,0.622,0.576,0.598,0.63,0.551,0.547,0.576,0.53,0.511,0.55
O3C1,yes,1_1,1,1_1,16.653,16.654,16.653,1_1,16.679,16.675,16.67,1_1,16.762,16.764,16.765,1_1,16.826,16.823,16.821,1_1,17.231,17.233,17.229,297377,296842,296634,1161658,1162743,1158351,295882,294810,297287,1210685,1203318,1203510,306552,306922,309547,1244045,1243024,1245602,303905,303038,304706,1233514,1225325,1236654,317257,317310,320070,1274651,1258661,1271141,24,Darren,D5,0.124,0.127,0.13,O1,0.424,0.384,0.666,NA,NA,NA,NA,0.239,0.271,0.251,0.258,0.292,0.27,92,94,66,0,0,0,0.647,0.647,0.655,0.617,0.563,0.542,0.575,0.576,0.566,0.57,0.558,0.544,0.577,0.558,0.585,0.581,0.57,0.555,0.57,0.589,0.579,0.581,0.578,0.584,0.557,0.546,0.536,0.594,0.565,0.581,0.584,0.589,0.595
O4A1,yes,1_1,1,1_1,25.068,25.065,25.064,1_1,25.191,25.188,25.188,1_1,25.297,25.298,25.3,1_1,25.439,25.433,25.432,1_1,25.994,25.992,25.99,302267,302491,299496,1430657,1439043,1446873,293999,293966,294248,1498523,1490177,1493358,307896,309560,308674,1516005,1515426,1517854,299247,300333,301149,1535726,1532372,1547117,316385,315598,315727,1501575,1489146,1505989,19,Darren,D1,0.225,0.248,0.218,O1,0.599,0.443,0.634,NA,NA,NA,NA,0.252,0.281,0.276,0.271,0.303,0.299,88,73,85,0,0,0,0.666,0.658,0.658,0.508,0.525,NA,0.529,0.541,0.507,0.463,0.483,0.458,0.533,0.545,0.528,0.522,0.549,0.57,0.53,0.517,0.492,0.542,0.523,0.503,0.55,0.589,0.556,0.533,0.528,0.533,0.446,0.478,0.438
O4B4,no,1_1,1,4_1,21.641,21.633,21.63,1_1,21.664,21.663,21.663,1_1,21.725,21.733,21.729,NA,NA,NA,NA,NA,NA,NA,,296682,293431,293968,1418262,1418035,1418765,292709,291012,296455,1413095,1413744,1413449,302028,299842,303461,1412722,1411051,1408581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.596,0.605,0.572,0.565,0.53,0.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O4C1,yes,1_1,1,1_1,26.303,26.301,26.299,1_1,26.349,26.348,26.347,1_1,26.402,26.405,26.405,1_1,26.455,26.541,26.452,1_1,26.89,26.88,26.894,296756,297564,297833,1427591,1427519,1427632,298898,294790,297003,1478993,1473504,1474125,309236,309556,309819,1430107,1431458,1429547,305032,305840,305571,1450608,1454892,1448672,318675,319520,319253,1479541,1487051,1481252,16,Darren,D1,0.192,0.204,0.199,O1,0.51,0.477,0.538,NA,NA,NA,NA,0.208,0.243,0.257,0.221,0.258,0.273,96,128,91,1,0,0,0.671,0.67,0.661,0.524,0.549,0.541,0.552,0.576,0.582,0.539,0.535,0.533,0.552,0.564,0.546,0.542,0.547,0.534,0.553,0.545,0.496,0.527,0.547,0.514,0.528,0.544,0.506,0.479,0.501,0.46,0.598,0.576,0.567
I2D1,yes,1_2,1,1_2,33.339,33.336,33.338,1_2,33.395,33.395,33.394,1_2,33.588,33.588,33.59,1_2,33.871,33.875,33.87,1_2,34.272,34.271,34.266,295942,298903,297280,1572080,1571687,1571606,295325,295843,296373,1605589,1592252,1588668,308946,308081,310275,1584913,1584016,1586254,305757,308009,307735,1533248,1527193,1530823,315833,312178,317726,631360,634568,634155,12,Darren,D1,0.161,0.161,0.163,O1,0.34,0.353,0.483,NA,NA,NA,NA,0.127,0.148,0.148,0.134,0.157,0.156,19,37,25,0,0,0,0.59,0.594,0.598,0.543,0.683,0.545,0.46,0.494,0.5,0.464,0.505,0.484,0.52,0.469,0.48,0.458,0.454,0.48,0.47,0.478,0.491,0.475,0.426,0.436,0.521,0.525,0.493,NA,NA,NA,0.488,0.477,0.457
I2E1,no,1_2,1,1_2,19.64,19.642,19.639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299233,299472,300560,1421215,1420485,1419880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.622,0.645,0.611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I2E7,?,1_2,1,NA,NA,NA,NA,1_2,17.752,17.753,17.75,1_2,17.985,17.989,17.985,1_2,18.123,18.123,18.121,1_2,18.266,18.264,18.264,NA,NA,NA,NA,NA,NA,300653,302947,299347,991734,989223,987263,310079,310973,311501,1019017,1018456,1019874,305235,304978,304732,1045484,1047383,1049581,316426,316187,318112,772462,776794,769084,NA,NA,D5,0.167,0.173,0.152,O2,0.553,0.516,0.55,NA,NA,NA,NA,0.063,0.069,0.075,0.109,0.122,0.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.549,0.467,0.598,0.467,0.507,0.522,0.531,0.543,0.509,0.548,0.578,0.539,0.492,0.53,0.565,0.516,0.51,0.496,0.576,0.535,0.511,0.547,0.531,0.56,0.494,0.446,0.453,0.549,0.57,0.561
I2F1,yes,1_2,1,1_2,24.51,24.51,24.509,1_2,24.532,24.53,24.533,1_2,24.559,24.562,24.562,1_2,24.574,24.572,24.571,1_2,24.718,24.717,24.715,299471,299744,300288,1361610,1359608,1358596,294828,296992,295086,1369001,1368157,1365571,309770,308611,310004,1407282,1412145,1406273,307495,307738,306690,1361630,1362176,1364257,317562,317886,316411,1433811,1432525,1435062,21,Darren,D5,0.093,0.072,0.094,O2,0.356,0.296,0.268,NA,NA,NA,NA,0.053,0.058,0.07,0.079,0.088,0.098,28,14,10,0,0,0,0.646,0.622,0.612,0.493,0.582,0.545,0.393,0.467,0.459,0.482,0.498,0.502,0.507,0.474,0.526,0.453,0.469,0.441,0.45,0.467,0.453,0.382,0.404,0.401,0.487,0.452,0.473,0.505,0.538,0.526,0.394,0.415,0.438
I3D1,no,1_2,1,1_2,31.084,31.084,31.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295400,296174,296715,1739962,1736553,1736217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.626,0.632,0.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I3D10,no,1_2,1,NA,NA,NA,NA,1_2,17.869,17.868,17.867,1_2,17.808,17.808,17.809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298445,299566,298948,1260732,1244831,1266886,311493,310882,310350,881407,883546,880239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.489,0.535,0.49,0.476,0.468,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I3D5,no,1_2,1,5_2,25.026,25.029,25.026,5_2,25.158,25.16,25.152,5_2,25.379,25.367,25.379,1_2,25.612,25.612,25.613,NA,NA,NA,NA,298630,299686,298900,1531190,1531829,1548944,303500,305434,304808,1599909,1597125,1599460,310528,310211,309980,1578148,1577325,1588037,304377,304439,305847,1570501,1567513,1564796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.544,0.511,0.528,0.55,0.473,0.461,0.5,0.493,0.47,0.536,0.532,0.559,0.516,0.478,0.484,0.466,0.433,0.452,0.469,0.479,0.463,0.419,0.39,0.42,NA,NA,NA,NA,NA,NA
I3E1,no,1_2,1,1_2,22.89,22.883,22.882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296444,297522,297793,1360750,1362121,1361978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.621,0.594,0.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I3E8,yes,1_2,1,1_2,NA,NA,NA,1_2,23.973,23.972,23.972,1_2,24.157,24.157,24.155,1_2,24.484,24.486,24.485,1_2,24.992,24.991,24.991,NA,NA,NA,NA,NA,NA,296799,298243,296060,1356380,1355561,1354672,308388,309807,311487,1364935,1363355,1369385,307710,307222,309143,1422049,1419802,1416500,316674,314459,318394,929615,930651,940203,11,Andrea,D3,0.159,0.164,0.14,O2,0.504,0.834,0.377,NA,NA,NA,NA,0.022,0.034,0.039,0.08,0.098,0.108,93,88,118,0,1,2,NA,NA,NA,0.585,0.546,0.622,0.487,0.438,0.465,0.505,0.526,0.495,0.536,0.547,0.529,0.524,0.542,0.524,0.513,0.498,0.498,0.525,0.482,0.517,0.503,0.479,0.482,0.528,0.508,0.508,0.496,0.497,0.477
I3F1,yes,1_2,1,1_2,19.362,19.356,19.358,1_2,19.47,19.471,19.471,1_2,19.967,19.974,19.971,1_2,20.3,20.3,20.299,1_2,21.062,21.062,21.062,299455,297268,297317,1413509,1412539,1410351,297986,294498,294727,1461417,1456499,1452181,312360,310948,308682,1502476,1501029,1504327,298962,299518,297618,1441496,1442615,1443685,NA,NA,NA,NA,NA,NA,14,Alyssa,D6,0.236,0.253,0.324,O2,0.736,0.747,0.644,NA,NA,NA,NA,0.125,0.138,0.146,0.299,0.331,0.341,241,221,260,4,2,1,0.632,0.614,0.622,0.564,0.569,0.544,0.566,0.578,0.534,0.624,0.59,0.592,0.616,0.626,0.621,0.57,0.566,0.569,0.577,0.574,0.559,0.589,0.586,0.598,0.578,0.581,0.6,0.548,0.527,0.594,0.583,0.616,0.603
I4D1,no,1_2,1,1_2,21.723,21.724,21.729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295372,298335,298333,1361873,1362761,1361245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635,0.634,0.646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4D5,yes,1_2,1,5_2,16.643,16.641,16.637,5_2,16.738,16.738,16.737,5_2,16.868,16.872,16.874,1_2,16.864,16.867,16.865,1_2,17.079,17.078,17.074,298873,298335,298359,1177284,1180650,1178805,303296,302994,304398,1230315,1223613,1222731,309375,308270,308528,1214213,1222907,1210692,305036,306116,305014,1224619,1225903,1225082,318694,319790,319275,1275556,1269388,1259340,18,Andrea,D3,0.16,0.149,0.158,O2,0.49,0.411,0.46,NA,NA,NA,NA,0.046,0.06,0.06,0.526,0.167,0.166,32,86,64,0,0,0,NA,NA,NA,0.531,0.566,0.576,0.595,0.475,0.487,0.591,0.597,0.577,0.629,0.611,0.609,0.597,0.58,0.632,0.571,0.606,0.596,0.575,0.605,0.574,0.588,0.607,0.584,0.598,0.551,0.582,0.601,0.617,0.593
I4E1,no,1_2,1,1_2,24.056,24.054,24.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,297316,298086,299992,1400205,1400506,1399221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.642,0.621,0.631,0.569,0.587,0.561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
