frag,survivedtoend,endtank,treat,normtankpa,pabwrec1,pabwrec2,pabwrec3,normtankt0,t0bwrec1,t0bwrec2,t0bwrec3,normtankt1,t1bwrec1,t1bwrec2,t1bwrec3,normtankt2,t2bwrec1,t2bwrec2,t2bwrec3,normtankt3,t3bwrec1,t3bwrec2,t3bwrec3,pasastan1,pasastan2,pasastan3,pasarec1,pasarec2,pasarec3,t0sastan1,t0sastan2,t0sastan3,t0sarec1,t0sarec2,t0sarec3,t1sastan1,t1sastan2,t1sastan3,t1sarec1,t1sarec2,t1sarec3,t2sastan1,t2sastan2,t2sastan3,t2sarec1,t2sarec2,t2sarec3,t3sastan1,t3sastan2,t3sastan3,t3sarec1,t3sarec2,t3sarec3,blastvol,blaster,hprotplate,hprot1,hprot2,hprot3,hcarbplate,hcarb1,hcarb2,hcarb3,scarbplate,scarb1,scarb2,scarb3,chl630_1,chl630_2,chl630_3,chl663_1,chl663_2,chl663_3,symcount1,symcount2,symcount3,symmit1,symmit2,symmit3,papamrec1,papamrec2,papamrec3,t0pamrec1,t0pamrec2,t0pamrec3,t1pamrec1,t1pamrec2,t1pamrec3,t2pamrec1,t2pamrec2,t2pamrec3,t3pamrec1,t3pamrec2,t3pamrec3,t4pamrec1,t4pamrec2,t4pamrec3,t5pamrec1,t5pamrec2,t5pamrec3,t6pamrec1,t6pamrec2,t6pamrec3,t7pamrec1,t7pamrec2,t7pamrec3,t8pamrec1,t8pamrec2,t8pamrec3,t9pamrec1,t9pamrec2,t9pamrec3
I2E4,yes,4_2,4,4_2,22.53,22.526,22.534,4_2,22.565,22.561,22.564,4_2,22.876,22.876,22.876,4_2,22.976,22.976,22.975,4_2,23.344,23.347,23.347,289706,287238,288595,1429746,1431973,1430345,305594,306953,304833,1479503,1483887,1480123,309593,311595,310473,1523725,1521980,1519972,306905,306901,306931,1462972,1462449,1463248,308013,306445,304108,1511464,1515345,1517256,13,Olivia,O2,0.083,0.078,0.085,O10,0.244,0.556,0.248,NA,NA,NA,NA,0.008,0.01,0.01,0.024,0.027,0.026,33,22,25,0,0,0,0.6,0.603,0.58,0.559,0.594,0.522,0.551,0.541,0.492,0.607,0.566,0.551,0.541,0.563,0.57,0.508,0.501,0.5,0.518,0.511,0.52,0.494,0.545,0.516,0.568,0.527,0.543,0.5,0.418,0.511,0.496,0.498,0.522
I2F4,yes,4_2,4,4_2,16.636,16.635,16.637,4_2,16.712,16.713,16.711,4_2,16.835,16.836,16.835,4_2,16.895,16.895,16.894,4_2,17.154,17.156,17.153,288840,288840,288311,1195929,1189629,1196118,307748,304650,306580,1230843,1231978,1221655,309116,307161,307125,1239324,1224573,1248644,300587,297459,299793,1228067,1230971,1232396,308043,308865,308983,1256075,1257867,1258618,13,Joyce,D2,0.107,0.112,0.108,O10,0.3,0.361,0.34,NA,NA,NA,NA,0.267,0.3,0.313,0.059,0.064,0.064,18,14,13,0,0,0,0.579,0.604,0.569,0.534,0.538,0.556,0.441,0.44,0.51,0.553,0.536,0.563,0.495,0.519,0.525,0.43,0.484,0.444,0.486,0.484,0.538,0.47,0.482,0.443,0.49,0.5,0.511,0.459,0.429,0.433,0.435,0.45,0.475
I3D4,no,4_2,4,4_2,28.636,28.634,28.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289659,286934,287235,1703473,1697026,1695584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.606,0.57,0.595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I3D8,yes,4_2,4,4_2,NA,NA,NA,4_2,15.432,15.429,15.429,4_2,25.984,25.983,25.984,4_2,26.084,26.086,26.086,4_2,26.173,26.166,26.176,NA,NA,NA,NA,NA,NA,305465,304638,308269,1467611,1462761,1461129,307923,307967,308793,1474385,1470801,1479090,297311,293290,291347,1419204,1418028,1416949,306945,304580,306303,1456570,1452884,1460713,NA,NA,D2,0.276,0.283,0.301,O10,0.603,0.635,0.47,NA,NA,NA,NA,0.069,0.072,0.073,0.126,0.137,0.137,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.519,0.474,0.547,0.451,0.481,0.39,0.448,0.491,0.473,0.478,0.476,0.481,0.406,0.407,0.443,0.354,0.323,0.314,0.322,0.298,0.309,0.352,0.362,0.355,0.329,0.303,0.357,0.328,0.353,0.338
I3E4,yes,4_2,4,4_2,21.573,21.573,21.574,4_2,21.669,21.671,21.671,4_2,21.962,21.965,21.965,4_2,22.449,22.447,22.448,4_2,23.102,23.105,23.106,296140,296406,295030,1271501,1281565,1279069,304921,304550,306731,1347544,1347405,1343356,310219,307142,309918,310219,307142,309918,308505,311931,310898,1396122,1390159,1398510,309456,306697,310845,1442904,1433834,1439351,11,Lauren,O2,0.226,0.219,0.22,O10,0.279,0.37,0.141,NA,NA,NA,NA,0.049,0.052,0.052,0.072,0.076,0.075,47,8,39,0,0,0,0.566,0.572,0.564,0.429,0.443,0.44,0.51,0.528,0.573,0.63,0.641,0.591,0.602,0.575,0.583,0.519,0.536,0.489,0.51,0.512,0.505,0.482,0.466,0.451,0.477,0.47,0.448,0.471,0.465,0.44,0.463,0.518,0.487
I3F4,yes,4_2,4,4_2,17.554,17.55,17.55,4_2,17.746,17.748,17.745,4_2,18.229,18.231,18.233,4_2,18.594,18.59,18.59,4_2,19.655,19.651,19.652,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,305449,302970,37047,1322082,1321332,1324275,307107,306025,306292,1402663,1417484,1423894,301712,296907,300018,1384889,1374472,1379349,304487,309473,308114,1480449,1481744,1476189,NA,NA,O2,0.262,0.266,0.251,O10,0.449,0.432,0.494,NA,NA,NA,NA,0.071,0.084,0.095,0.197,0.224,0.236,NA,NA,NA,NA,NA,NA,0.624,0.623,0.606,0.535,0.576,0.581,0.512,0.568,0.548,0.592,0.598,0.6,0.6,0.625,0.61,0.577,0.53,0.571,0.586,0.581,0.538,0.564,0.563,0.523,0.605,0.608,0.596,0.579,0.556,0.566,0.56,0.577,0.569
I4D4,yes,4_2,4,4_2,25.925,25.92,25.925,4_2,25.925,25.925,25.927,4_2,25.853,25.855,25.854,4_2,25.793,25.791,25.792,4_2,25.483,25.48,25.479,NA,NA,NA,NA,NA,NA,305219,303317,306330,1125135,1119160,1119122,305770,3093446,309619,1211953,1225793,1209332,300920,298957,299818,1059119,1068687,1058152,307539,308176,307968,755302,762905,753785,10,Lauren,O5,0.123,0.101,0.106,O11,0.969,0.57,0.579,NA,NA,NA,NA,0.062,0.067,0.068,0.269,0.3,0.299,15,45,50,0,1,1,0.61,0.598,0.605,0.53,0.594,0.6,0.415,0.361,0.325,0.555,0.534,0.531,0.608,0.546,0.576,0.523,0.545,0.471,0.488,0.462,0.512,0.519,0.483,0.521,0.523,0.519,0.579,0.562,0.513,0.515,0.476,0.525,0.517
I4E7,yes,4_2,4,4_2,16.298,16.297,16.297,4_2,16.294,16.294,16.292,4_2,16.288,16.291,16.292,4_2,16.235,16.239,16.239,4_2,16.017,16.018,16.017,290204,287502,289382,1106302,1107083,1107903,308165,306686,309795,1099300,1106747,1107414,311307,307357,308845,1076113,1083064,1081985,301045,299180,300759,928006,915630,940529,311310,311627,312467,118547,106175,99232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.558,0.522,0.558,0.418,0.5,0.51,0.548,0.586,0.585,0.568,0.598,0.584,0.573,0.523,0.525,0.512,0.515,0.471,0.249,0.244,0.258,0.476,0.477,0.496,0.478,0.464,0.462,0.444,0.437,0.408
I4F4,yes,4_2,4,4_2,22.064,22.065,22.061,4_2,22.059,22.059,22.06,4_2,22.185,22.186,NA,4_2,22.469,22.471,22.473,4_2,22.904,22.909,22.904,286201,283205,286706,1470839,1470096,1464459,306052,305819,307356,1464686,1467652,1466400,306857,308222,309606,1485671,1482372,1480561,297523,296557,297256,1514595,1505871,1511164,310386,307868,307511,1519899,1524556,1518312,21,Darren,D8,0.128,0.153,0.129,O11,0.393,0.236,0.286,NA,NA,NA,NA,0.032,0.034,0.036,0.083,0.093,0.095,11,11,10,0,0,0,0.583,0.573,0.599,0.488,0.506,0.438,0.478,0.533,0.505,0.464,0.448,0.475,0.483,0.501,0.481,0.431,0.435,0.45,0.292,0.297,0.323,0.374,0.387,0.39,0.507,0.515,0.502,0.53,0.524,0.509,0.543,0.55,0.567
O2D4,no,4_2,4,4_2,19.873,19.868,19.867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296129,296159,295585,1440460,1442377,1441543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.642,0.624,0.636,0.533,0.542,0.488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O2E4,yes,4_2,4,4_2,24.76,24.755,24.756,4_2,24.808,24.811,24.808,4_2,24.958,24.961,24.961,4_2,25.314,25.318,25.32,4_2,26.114,26.11,26.109,292093,291540,291564,1539447,1536444,1535842,307101,307941,306300,1584629,1582715,1575999,300334,297773,300186,1506314,1499643,1493305,309926,310894,307597,1572165,1572521,1571110,301483,303884,301933,1674256,1676414,1673890,13,Joyce,D1,0.277,0.294,0.309,O11,0.951,0.669,0.634,NA,NA,NA,NA,0.135,0.148,0.15,0.329,0.365,0.37,79,88,97,0,0,0,0.621,0.606,0.631,0.585,0.626,0.573,0.582,0.564,0.591,0.619,0.611,0.593,0.583,0.579,0.598,0.565,0.559,0.633,0.537,0.535,0.521,0.508,0.517,0.507,0.505,0.497,0.516,0.548,0.549,0.542,0.555,0.605,0.545
O2F4,no,4_2,4,4_2,16.278,16.273,16.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,297810,298363,298069,1351593,1356163,1361995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.596,0.58,0.597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O2F8,yes,4_2,4,NA,NA,NA,NA,4_2,12.505,12.509,12.507,4_2,12.472,12.473,12.472,4_2,12.442,12.444,12.444,4_2,12.62,12.622,12.621,NA,NA,NA,NA,NA,NA,307568,306904,305753,841871,850886,843532,298621,298065,298892,828403,829657,829408,310052,308371,310634,806405,809022,813117,308508,307229,308928,855005,858250,856033,9,Joyce,D1,0.174,0.187,0.167,O11,0.329,0.444,0.435,NA,NA,NA,NA,0.055,0.056,0.058,0.086,0.088,0.093,74,87,74,0,0,0,NA,NA,NA,0.496,0.518,0.495,0.576,0.5,0.54,0.484,0.464,0.486,0.418,0.378,0.37,0.424,0.439,0.413,0.416,0.38,0.357,0.38,0.405,0.362,0.384,0.367,0.343,0.423,0.421,0.431,0.483,0.46,0.47
O3D4,no,4_2,4,4_2,21.987,21.982,21.975,4_2,22.161,22.16,22.159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288597,289638,289660,1528082,1523408,1525058,306670,306992,306345,1544309,1553785,1550778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.636,0.631,0.617,0.597,0.583,0.577,0.508,0.486,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O3E4,no,4_2,4,4_2,16.366,16.37,16.372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286953,288832,288586,1097305,1096765,1093696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.554,0.571,0.552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O3E9,yes,4_2,4,NA,NA,NA,NA,4_2,11.744,11.739,11.74,4_2,11.955,11.956,11.955,4_2,12.238,12.235,12.234,4_2,13.026,13.025,13.02,NA,NA,NA,NA,NA,NA,307520,306070,307877,1183188,1173544,1171839,312449,312418,312163,114338,1138923,1139465,310574,308340,310509,1213380,1210850,1209527,306708,305290,307393,1244304,1247968,1247524,14,Joyce,D1,0.319,0.303,0.292,O11,0.466,0.491,0.562,NA,NA,NA,NA,0.119,0.131,0.132,0.284,0.318,0.315,173,43,117,0,0,0,NA,NA,NA,0.46,0.494,0.5,0.512,0.507,0.487,0.666,0.574,0.649,0.559,0.565,0.543,0.503,0.5,0.444,0.508,0.51,0.504,0.511,0.494,0.504,0.506,0.542,0.511,0.535,0.537,0.513,0.519,0.495,0.525
O3F4,yes,4_2,4,4_2,15.357,15.348,15.352,4_2,25.965,25.964,25.964,4_2,15.621,15.62,15.621,4_2,15.877,15.878,15.876,4_2,16.538,16.541,16.538,NA,NA,NA,NA,NA,NA,306474,307076,306788,1098934,1096138,1100780,309657,308770,308538,1166884,1165445,1170563,312546,307290,311146,1229323,1231915,1223844,307669,305943,308857,1257236,1256853,1249343,11,Lauren,O4,0.215,0.228,0.261,O11,0.47,0.298,0.361,NA,NA,NA,NA,0.007,0.004,0.016,0.038,0.041,0.052,37,43,27,0,0,0,0.641,0.618,0.627,0.5,0.531,0.559,0.524,0.491,0.496,0.553,0.564,0.573,0.51,0.495,0.497,0.461,0.498,0.494,0.47,0.442,0.466,0.498,0.494,0.465,0.48,0.488,0.452,0.439,0.418,0.395,0.51,0.445,0.483
