frag,hcarbplate_ha,hcarb1_ha,hcarb2_ha,hcarb3_ha,scarbplate_ha,scarb1_ha,scarb2_ha,scarb3_ha
O3H2,O6,0.189,0.266,0.219,O23,0.164,0.153,0.176
O3H3,O9,0.382,0.399,0.586,O26,0.167,0.184,0.156
O3H5,O14,0.202,0.279,0.225,O31,0.093,0.112,0.08
O3H6,O17,0.289,0.368,0.358,O34,0.118,0.057,0.106
O3H7,O12,0.285,0.244,0.267,O29,0.121,0.119,0.122
O3I10,O14,0.458,0.435,0.5,O31,0.091,0.113,0.101
O3I11,O9,0.484,0.434,0.486,O26,0.145,0.135,0.132
O3I13,O12,0.206,0.184,0.152,O29,0.068,0.071,0.066
O3I3,O6,0.241,0.228,0.231,O23,0.099,0.106,0.101
O3I6,O17,0.283,0.255,0.362,O34,0.142,0.121,0.132
O3I8,O3,0.466,0.704,0.444,O20,0.144,0.15,0.159
O4A1,O1,0.599,0.443,0.634,O18,0.162,0.116,0.155
O4A17,O7,0.441,0.394,0.371,O24,0.222,0.226,0.209
O4A2,O4,0.449,0.485,0.409,O21,0.118,0.125,0.118
O4A4,O10,0.259,0.179,0.13,O27,0.048,0.403,0.248
O4A5,O13,0.325,0.258,0.237,O30,0.084,0.089,0.083
O4A6,O17,0.444,0.356,0.421,O34,0.215,0.227,0.233
O4B1,O10,0.274,0.459,0.422,O27,0.296,0.304,0.28
O4B3,O7,0.628,0.622,0.701,O24,0.207,0.181,0.207
O4C1,O1,0.51,0.477,0.538,O18,0.123,0.151,0.106
O4C10,O17,0.53,0.453,0.488,O34,0.087,0.201,0.193
O4C2,O4,0.738,0.725,NA,O21,0.139,0.137,0.13
O4C3,O7,0.607,0.59,0.88,O24,0.202,0.193,0.193
O4C5,O13,0.376,0.444,0.322,O30,0.349,0.32,0.276
O4D1,O35,0.331,0.327,0.359,O35,0.052,0.049,0.066
O4D12,O8,0.727,0.693,0.807,O25,0.25,0.188,0.193
O4D2,O5,0.346,0.329,0.313,O22,0.47,0.141,0.591
O4D4,O11,1.204,0.561,0.699,O28,0.218,0.141,0.305
O4D5,O13,0.329,0.371,0.367,O30,0.169,0.183,0.336
O4D6,O17,0.469,0.403,0.401,O34,0.196,0.261,0.209
O4D8,O5,0.15,0.154,0.121,O22,0.054,0.059,0.055
O4E1,O2,0.696,0.78,0.801,O19,0.139,0.31,0.343
O4E10,O8,0.161,0.25,0.191,O25,0.07,0.053,0.044
O4E2,O5,0.411,0.624,0.313,O22,0.227,0.228,0.211
O4E4,O11,0.362,0.343,0.578,O28,0.124,0.144,0.189
O4E5,O13,0.39,0.495,0.424,O30,0.245,0.318,0.283
O4E6,O17,0.446,0.347,0.39,O34,0.165,0.151,0.556
O4F1,O2,1.177,0.752,1.13,O19,0.077,0.139,0.234
O4F2,O5,0.577,0.632,0.335,O22,0.236,0.142,0.134
O4F3,O8,0.655,0.603,0.608,O25,0.138,0.12,0.135
O4F4,O11,0.788,0.647,0.647,O28,0.336,0.258,0.286
O4F5,O13,0.476,0.45,0.454,O30,0.225,0.225,0.299
O4F6,O17,0.364,0.408,0.385,O34,0.168,0.162,0.179
O4G1,O3,0.439,0.433,0.778,O20,0.22,0.189,0.232
O4G6,O17,0.687,0.561,0.675,O34,0.292,0.338,0.301
O4G7,O9,1.113,0.944,1.179,O26,0.43,0.334,0.37
O4G9,O6,0.329,0.409,0.436,O23,0.225,0.215,0.24
O4H11,O12,0.284,0.366,0.29,O29,0.154,0.146,0.165
O4H12,O17,0.465,0.515,0.335,O34,0.151,0.156,0.158
O4H2,O6,0.364,0.397,0.448,O23,0.177,0.159,0.14
O4H3,O9,0.46,0.227,0.464,O26,0.241,0.289,0.29
O4I3,O9,0.242,0.27,0.284,O26,0.202,0.224,0.202
O4I6,O17,0.325,0.338,0.241,O34,0.159,0.182,0.184
