date,plate,frag,blk_630_1,blk_630_2,blk_630_3,blk_663_1,blk_663_2,blk_663_3
12/8/20,O3,I2B2,0.008,0.011,0.013,0.027,0.034,0.036
12/8/20,O3,I3B8,0.017,0.029,0.024,0.061,0.08,0.075
12/8/20,O3,I4A2,0.029,0.035,0.034,0.083,0.099,0.098
12/8/20,O3,I4C2,0.012,0.019,0.023,0.05,0.062,0.066
12/8/20,O3,O4G1,0.023,0.029,0.038,0.066,0.079,0.084
12/8/20,O3,I2E2,-0.004,0.003,0.004,-0.002,0.003,0.005
12/8/20,O3,I2F2,-0.001,0.008,0.005,0.001,0.01,0.008
12/8/20,O3,I3D2,0.041,0.053,0.053,0.157,0.189,0.191
12/8/20,O4,O3A2,0.01,0.014,0.016,0.035,0.043,0.043
12/8/20,O4,O3B2,0.027,0.042,0.038,0.066,0.088,0.084
12/8/20,O4,I3E2,0.001,0.003,0.006,0.017,0.02,0.022
12/8/20,O4,I3F2,0.011,0.017,0.017,0.04,0.049,0.047
12/8/20,O4,I4F2,0.012,0.014,0.017,0.047,0.052,0.055
12/8/20,O4,O3E2,0.021,0.027,0.029,0.078,0.089,0.092
12/8/20,O4,I2H2,0.019,0.027,0.028,0.055,0.069,0.068
12/8/20,O4,I2I10,0.005,0.007,0.01,0.016,0.019,0.024
12/8/20,O4,O4D2,0.018,0.03,0.037,0.051,0.069,0.074
12/8/20,O4,O4E2,0.007,0.013,0.01,0.019,0.028,0.025
12/8/20,O4,I3H2,0.025,0.172,0.132,0.077,0.228,0.177
12/8/20,O4,I3I2,0.006,0.009,0.012,0.032,0.038,0.041
12/8/20,O5,I4G2,0.011,0.02,0.022,0.047,0.063,0.064
12/8/20,O5,I4I2,0.015,0.024,0.028,0.055,0.069,0.073
12/8/20,O5,O2I9,0.042,0.058,0.067,0.132,0.16,0.172
12/8/20,O5,O3G2,0.053,0.068,0.069,0.174,0.207,0.207
12/8/20,O5,O3H2,0.015,0.023,0.031,0.046,0.059,0.066
12/8/20,O5,O3I2,0.023,0.037,0.033,0.07,0.093,0.089
12/8/20,O5,I2C3,0.006,0.012,0.008,0.024,0.032,0.029
12/8/20,O5,I3A7,0.072,0.096,0.092,0.235,0.29,0.288
12/8/20,O5,I3B3,0.054,0.069,0.071,0.153,0.183,0.184
12/8/20,O5,I3C3,0.072,0.092,0.095,0.237,0.284,0.291
12/8/20,O5,I4A3,0.027,0.035,0.038,0.085,0.099,0.107
12/8/20,O5,I4B3,0.017,0.028,0.039,0.052,0.062,0.079
12/8/20,O6,O2A9,0.023,0.028,0.026,0.066,0.075,0.07
12/8/20,O6,O3A10,0.059,0.074,0.072,0.165,0.195,0.196
12/8/20,O6,O3B9,0.054,0.071,0.093,0.142,0.171,0.196
12/8/20,O6,O3C10,0.02,0.026,0.03,0.064,0.077,0.082
12/8/20,O6,O4A17,0.051,0.069,0.092,0.143,0.174,0.194
12/8/20,O6,I2F10,-0.004,-0.002,0,0,0.002,0.004
12/8/20,O6,I3D3,0.044,0.066,0.074,0.119,0.153,0.155
12/8/20,O6,I3E3,0.028,0.046,0.035,0.084,0.108,0.098
12/8/20,O6,O4B3,0.186,0.18,0.203,0.596,0.599,0.661
12/8/20,O6,O4C3,0.071,0.083,0.081,0.202,0.231,0.228
12/8/20,O6,I4D9,0.056,0.067,0.065,0.162,0.188,0.178
12/8/20,O6,I4E3,0.029,0.033,0.039,0.096,0.106,0.116
12/8/20,O7,O2E3,0.097,0.125,0.106,0.24,0.307,0.269
12/8/20,O7,O2F3,0.039,0.052,0.053,0.131,0.157,0.159
12/8/20,O7,O3F3,0.029,0.044,0.046,0.073,0.093,0.097
12/8/20,O7,I2G11,0.008,0.029,0.028,0.043,0.073,0.067
12/8/20,O7,I2H13,0.004,0.007,0.009,0.034,0.042,0.044
12/8/20,O7,I2I3,0.016,0.027,0.02,0.059,0.075,0.071
12/8/20,O7,I3G3,0.133,0.149,0.16,0.36,0.411,0.42
12/8/20,O7,I3H3,0.043,0.058,0.061,0.146,0.178,0.18
12/8/20,O7,I4G3,0.047,0.062,0.07,0.165,0.199,0.208
12/8/20,O7,I4H3,0.042,0.057,0.059,0.135,0.164,0.165
12/8/20,O7,I4I7,0.017,0.027,0.03,0.076,0.095,0.099
12/8/20,O7,O2H8,0.032,0.059,0.06,0.102,0.144,0.143
12/8/20,O8,O2I3,0.074,0.096,0.099,0.229,0.285,0.288
12/8/20,O8,O3I11,0.024,0.027,0.023,0.078,0.084,0.076
12/8/20,O8,I2C4,0.004,0.01,0.013,0.027,0.033,0.036
12/8/20,O8,I3A4,0.281,0.311,0.301,0.833,0.904,0.879
12/8/20,O8,O4G7,0.144,0.146,0.164,0.372,0.39,0.402
12/8/20,O8,O4H3,0.096,0.114,0.118,0.238,0.266,0.267
12/8/20,O8,O4I3,0.034,0.048,0.032,0.091,0.109,0.093
12/8/20,O8,I3C4,0.088,0.105,0.108,0.278,0.313,0.317
12/8/20,O8,I4A4,0.032,0.046,0.055,0.1,0.119,0.129
12/8/20,O8,I4C4,0.03,0.041,0.051,0.088,0.107,0.116
12/8/20,O8,O2C7,0.064,0.08,0.091,0.191,0.226,0.236
12/8/20,O8,O3B4,0.094,0.102,0.101,0.232,0.273,0.275
12/8/20,O9,O4A4,0.01,0.015,0.014,0.046,0.057,0.056
12/8/20,O9,I2D4,0.025,0.019,0.015,0.062,0.061,0.059
12/8/20,O9,I2F4,0.001,0.001,0.004,0.016,0.018,0.021
12/8/20,O9,I3D8,0.028,0.034,0.049,0.069,0.086,0.102
12/8/20,O9,I3E4,0.005,0.013,0.013,0.033,0.047,0.046
12/8/20,O9,O2E4,0.057,0.078,0.072,0.17,0.212,0.192
12/8/20,O9,O2F8,0.007,0.016,0.013,0.032,0.049,0.045
12/8/20,O9,O3E9,0.063,0.096,0.088,0.182,0.234,0.229
12/8/20,O9,O4D4,0.018,0.029,0.03,0.055,0.072,0.074
12/8/20,O9,I2G12,0.012,0.015,0.012,0.038,0.042,0.038
12/8/20,O9,I2H4,0.036,0.044,0.05,0.125,0.147,0.158
12/8/20,O9,I3I4,0.121,0.148,0.159,0.357,0.414,0.44
12/8/20,O10,O3G7,0.009,0.015,0.014,0.035,0.044,0.044
12/8/20,O10,O3I13,0.009,0.011,0.01,0.028,0.034,0.033
12/8/20,O10,I3B5,0.032,0.043,0.042,0.078,0.095,0.093
12/8/20,O10,I4B5,0.033,0.036,0.046,0.082,0.09,0.096
12/8/20,O10,O2B1,0.055,0.065,0.07,0.146,0.156,0.164
12/8/20,O10,O3B5,0.055,0.062,0.064,0.164,0.17,0.17
12/8/20,O10,O4A5,0.027,0.03,0.031,0.084,0.091,0.092
12/8/20,O10,I2D5,0.082,0.095,0.098,0.26,0.293,0.297
12/8/20,O10,I2E5,0.016,0.023,0.02,0.056,0.065,0.063
12/8/20,O10,I2F5,0.036,0.053,0.048,0.097,0.122,0.117
12/8/20,O10,I3F5,0.068,0.082,0.077,0.187,0.225,0.213
12/8/20,O10,I4D3,0.019,0.025,0.03,0.062,0.074,0.081
12/8/20,O11,I4F5,0.007,0.01,0.01,0.029,0.036,0.036
12/8/20,O11,O2C5,0.104,0.124,0.125,0.321,0.376,0.379
12/8/20,O11,O2E5,0.072,0.089,0.09,0.207,0.247,0.246
