"frag","A4z_sum","A4_sum","B19_sum","B5_sum","B5a_sum","C1_sum","C3_sum","C3af_sum","C15_sum","D1_sum","timepoint","Sample_or_Control","treat","gen_site","sitename","reef","lineage","dominant_type","minor_type"
"I3I3",0,0,0,0,0,1,0,0,0,0,"pre_stress","Sample","Mod Var","I3I","CI","Inner Reef","L1","C1",NA
"I3H3",0,0,0,0,0,0.848027842227378,0,0,0,0.151972157772622,"pre_stress","Sample","Mod Var","I3H","CI","Inner Reef","L1","C1","D1"
"I3A1",0,0,0,0,0,1,0,0,0,0,"pre_stress","Sample","Control","I3A","CI","Inner Reef","L1","C1",NA
"I3A7",0,0,0,0,0,1,0,0,0,0,"pre_stress","Sample","Mod Var","I3A","CI","Inner Reef","L1","C1",NA
"O2I1",0,0,0,0,0,1,0,0,0,0,"pre_stress","Sample","Control","O2I","BS","Outer Reef","L1","C1",NA
"I2F10",0,0,0,0,0,1,0,0,0,0,"pre_stress","Sample","Mod Var","I2F","SP","Inner Reef","L2","C1",NA
"O2D3",0,0,0,0,0,1,0,0,0,0,"pre_stress","Sample","Mod Var","O2D","BS","Outer Reef","L1","C1",NA
"I3H5",0,0,0,0,0,0.754416961130742,0,0,0,0.245583038869258,"pre_stress","Sample","Control","I3H","CI","Inner Reef","L1","C1","D1"
"O3B1",0,0,0,0,0,0.682190179267342,0,0,0,0.317809820732658,"pre_stress","Sample","Control","O3B","CA","Outer Reef","L1","C1","D1"
"I3E3",0,0,0,0,0,0.619623655913978,0,0,0,0.380376344086022,"pre_stress","Sample","Mod Var","I3E","CI","Inner Reef","L2","C1","D1"
"I2A1",0,0,0,0,0,1,0,0,0,0,"pre_stress","Sample","Control","I2A","SP","Inner Reef","L2","C1",NA
"I4B3",0,0,0,0,0,1,0,0,0,0,"pre_stress","Sample","Mod Var","I4B","PD","Inner Reef","L2","C1",NA
"I4I1",0,0,0,0,0,0.959306305621054,0,0,0,0.0406936943789458,"pre_stress","Sample","Control","I4I","PD","Inner Reef","L2","C1","D1"
"O4F3",0,0,0,0,0,0.739236393176279,0,0,0,0.260763606823721,"pre_stress","Sample","Mod Var","O4F","BN","Outer Reef","L1","C1","D1"
